province,year,co2_actual,log_Population,log_pGDP,Industry,Urbanization,EnergyIntensity,model,split,log_co2_pred,co2_pred,abs_pct_err,CoalShare,OilShare,GasShare,NonFossilShare,log_Energy
Anhui,1990,62.208,8.643825842349603,-2.154620911024286,33.97941308839634,17.94,3.0809335137060727,core_drivers,train,4.26378290949207,71.0783585120496,0.1425919256695217,,,,,
Anhui,1991,65.676,8.658866349732383,-2.161186791416094,35.37425795166785,17.96,3.2755509021850524,core_drivers,train,4.294266088272288,73.2784148173274,0.11575636179620256,,,,,
Anhui,1992,70.515,8.671458150427666,-1.9853475466360035,36.71896434079361,18.2,2.906448405075959,core_drivers,train,4.354800683320859,77.85130672639697,0.10403895237037467,,,,,
Anhui,1993,77.832,8.682199026000504,-1.7380153904048157,38.00812324549305,18.48,2.4034000765593477,core_drivers,train,4.430305217697936,83.95703817395534,0.078695628712552,,,,,
Anhui,1994,79.559,8.691986481789401,-1.3864824560546456,39.23697786925827,18.78,1.790936071400383,core_drivers,train,4.532943981658185,93.0320429498555,0.16934655978400304,,,,,
Anhui,1995,104.678,8.70167907103957,-1.200265509998229,40.40140642099009,19.09,1.5732633890017993,core_drivers,train,4.602699961524164,99.75328240298522,0.047046347819167125,,,,,
Anhui,1996,113.619,8.711113884053544,-0.9535282398975216,46.9,21.71,1.300113941404142,core_drivers,train,4.7718530374114145,118.13795330511792,0.039772866379020395,,,,,
Anhui,1997,116.086,8.720460512725655,-0.8306454880984645,47.2,22.02,1.2864095917152008,core_drivers,train,4.823844957311359,124.4426487686723,0.07198670613745241,,,,,
Anhui,1998,117.278,8.729720590267258,-0.7904013573701393,44.7,22.33,1.307845387085851,core_drivers,train,4.8248437282332315,124.56700055684107,0.062151473906794624,,,,,
Anhui,1999,120.639,8.738254576526122,-0.7628299312699246,43.97006,26.0,1.2846423781028984,core_drivers,train,4.883875286493208,132.14176010218074,0.09534860287453265,,,,,
Anhui,2000,127.87,8.714895850248494,-0.6958635269205455,42.6666,28.0,1.2982172806148282,core_drivers,train,4.909494690494519,135.5708918370581,0.060224382865864505,,,,,
Anhui,2001,136.977,8.720623711420426,-0.635224852020718,43.0,29.3,1.2800221851963485,core_drivers,train,4.953492976350007,141.66894696495936,0.03425353865947828,,,,,
Anhui,2002,144.987,8.723231274827508,-0.5570946940694473,43.5,30.7,1.2266338632194023,core_drivers,train,5.002429485785113,148.77416511486075,0.026120721960318893,,,,,
Anhui,2003,163.38,8.726318950962243,-0.4516815143816768,44.82451,32.0,1.17077691152405,core_drivers,train,5.066589437181573,158.6323780022746,0.029058770949476002,,,,,
Anhui,2004,164.799,8.73681053295389,-0.26895045307633403,45.08548,33.5,0.9705706113058167,core_drivers,train,5.145458665488913,171.65019663981434,0.04157304740814163,,,,,
Anhui,2005,177.772,8.719317375506371,-0.1344337604202219,41.3,35.5,0.8847621520437668,core_drivers,train,5.1680972558191725,175.5804347929988,0.012327954947917504,,,,,
Anhui,2006,202.769,8.71768205216564,0.00040908161748636716,43.1,37.1,0.8743201413824133,core_drivers,train,5.250263247262654,190.61644111077288,0.05993302175987021,,,,,
Anhui,2007,232.707,8.718990524710849,0.18494967920022423,44.7,38.7,0.7751434718593618,core_drivers,train,5.343661696130289,209.27762005237798,0.10068188729871475,,,,,
Anhui,2008,265.423,8.721765357145012,0.36659493388926273,46.6,40.5,0.6711546734926311,core_drivers,train,5.442393740530369,230.99446299834204,0.12971195789987286,,,,,
Anhui,2009,294.387,8.721113147762688,0.495489574700718,48.7,42.1,0.62829663065288,core_drivers,train,5.524227361264614,250.6925683845133,0.14842513974967206,,,,,
Anhui,2010,304.789,8.692322277628687,0.7298442447939942,52.1,43.01,0.5594249895367142,core_drivers,train,5.624488191539721,277.13041053136584,0.09074667874704845,,,,,
Anhui,2011,336.103,8.69483715865908,0.9408134314791714,54.3,44.8,0.4987666018763909,core_drivers,train,5.737593032038042,310.3165892625563,0.07672175118176185,,,,,
