scenario,year,co2_pred
baseline,2024,11289.790251731287
baseline,2025,11490.359708812419
baseline,2026,11691.68727247179
baseline,2027,11888.584772500988
baseline,2028,12089.019556755009
baseline,2029,12291.660288246481
baseline,2030,12497.294954955085
baseline,2031,12692.14831938991
baseline,2032,12893.093360791236
baseline,2033,13097.331195562352
baseline,2034,13304.334576033107
baseline,2035,13514.437771584691
extensive,2024,11344.577476871405
extensive,2025,11602.548348795975
extensive,2026,11863.09275751316
extensive,2027,12121.069754092216
extensive,2028,12384.898843699011
extensive,2029,12653.294461417598
extensive,2030,12927.158173824797
extensive,2031,13191.966608451432
extensive,2032,13465.566299948321
extensive,2033,13745.221005556092
extensive,2034,14030.278577976042
extensive,2035,14321.157655592295
low_carbon,2024,11235.530110647973
low_carbon,2025,11379.38943218628
low_carbon,2026,11522.94812970251
low_carbon,2027,11661.079361880773
low_carbon,2028,11801.050124207668
low_carbon,2029,11941.423561922951
low_carbon,2030,12082.783255878901
low_carbon,2031,12212.316928535816
low_carbon,2032,12345.958193928096
low_carbon,2033,12480.996147879607
low_carbon,2034,12616.710734001921
low_carbon,2035,12753.5228816033
