province,year,CO2,CO2_source,GDP_source,Population_source,GDP_is_imputed,Population_is_imputed,Industry_source,Industry_is_imputed,Urbanization_source,Urbanization_is_imputed,Energy_source,CoalShare_source,Energy_is_imputed,CoalShare_is_imputed,HighwayMileage_source,PrivateCars_source,HighwayMileage_is_imputed,PrivateCars_is_imputed
Anhui,2002,144.987,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2003,163.38,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2004,164.799,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2005,177.772,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2006,202.769,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2007,232.707,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2008,265.423,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2009,294.387,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2010,304.789,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2011,336.103,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Anhui,2012,355.647,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
