province,year,base_year,delta_CO2,delta_P,delta_A,delta_S,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Anhui,1991,1990,3.4680000000000035,0.9614843260044639,-0.4197325876366843,0.5735081962839129,-6.280624001460663,8.63336406680898,-5.329070518200751e-15,1.5366408645330871e-15,1.5366408645330871e-15
Anhui,1992,1991,4.838999999999999,0.857084015360363,11.968820792287692,2.4824932294967095,-12.798675569992499,2.329277532847716,1.7763568394002505e-14,3.670917213061068e-15,3.670917213061068e-15
Anhui,1993,1992,7.316999999999993,0.796041850282788,18.330604981461068,4.856328386837166,-20.786271188750813,4.120295970169773,1.2434497875801753e-14,1.699398370343278e-15,1.699398370343278e-15
Anhui,1994,1993,1.7270000000000039,0.7701978143102903,27.662949752656445,-0.08146262968733763,-17.660614366284047,-8.964070570995322,-2.4868995751603507e-14,1.44001133477727e-14,1.44001133477727e-14
Anhui,1995,1994,25.119,0.887306652234574,17.047202840231765,0.8884731385801704,-16.50305473136568,22.79907210031913,3.907985046680551e-14,1.5557884655760784e-15,1.5557884655760784e-15
Anhui,1996,1995,8.941000000000003,1.029219584273232,26.91593677390377,-0.20944386994139316,-15.583288761777126,-3.2114237264584236,-5.684341886080802e-14,6.357613114954479e-15,6.357613114954479e-15
Anhui,1997,1996,2.4669999999999987,1.073442394766387,14.112848599651842,0.7322963215558363,-45.48094231019646,32.02935499422237,2.1316282072803006e-14,8.640568331091616e-15,8.640568331091616e-15
Anhui,1998,1997,1.1920000000000073,1.0804749707998331,4.695724822842421,-6.349824834856897,-3.1143111050720784,4.8799361462866955,3.3306690738754696e-14,2.794185464660612e-14,2.794185464660612e-14
Anhui,1999,1998,3.36099999999999,1.0151226683723615,3.279637297822954,-1.9584683337827906,-5.4995802145603045,6.524288582147732,3.730349362740526e-14,1.109892699417e-14,1.109892699417e-14
Anhui,2000,1999,7.231000000000009,-2.901607539850339,8.318528222274058,-3.7380773863846484,15.975929896571726,-10.42377319261078,-8.881784197001252e-15,1.2282926562026332e-15,1.2282926562026332e-15
Anhui,2001,2000,9.107,0.7582043807601246,8.026819710266157,1.030338811116056,17.92713116954196,-18.635494071684278,-2.1316282072803006e-14,2.3406480809051286e-15,2.3406480809051286e-15
Anhui,2002,2001,8.009999999999991,0.36752059237007584,11.011982241446256,1.6294293306889807,-4.9126883293297965,-0.0862438351754706,-5.5067062021407764e-14,6.874789266093362e-15,6.874789266093362e-15
Anhui,2003,2002,18.393,0.47550360677905096,16.233680268375377,4.6191134869464925,-3.481058466890958,0.545761104790095,-5.684341886080802e-14,3.0904919730771495e-15,3.0904919730771495e-15
Anhui,2004,2003,1.4190000000000111,1.7215477145479388,29.984061623654245,0.9525591139730836,4.069545953117275,-35.30871440529251,-2.1316282072803006e-14,1.5022045153490373e-14,1.5022045153490373e-14
Anhui,2005,2004,12.972999999999985,-2.994891328252564,23.02974048851216,-15.014168383133251,-21.999281692189115,29.95160091506262,1.3500311979441904e-13,1.0406468804009805e-14,1.0406468804009805e-14
Anhui,2006,2005,24.997000000000014,-0.3107057388856388,25.619670327731,8.105345870030174,-17.00653919347679,8.589228734601384,-1.1368683772161603e-13,4.54801927117718e-15,4.54801927117718e-15
Anhui,2007,2006,29.937999999999988,0.28445478469190855,40.118117987701616,7.924140594486933,-60.06939372385196,41.68068035697147,1.4210854715202004e-14,4.7467615455949e-16,4.7467615455949e-16
Anhui,2008,2007,32.71600000000001,0.6901187764416828,45.1763498829972,10.352914007086493,-40.28009316915721,16.776710502631968,-1.2789769243681803e-13,3.909331594229674e-15,3.909331594229674e-15
Anhui,2009,2008,28.964,-0.18239365403883373,36.046038528086044,12.32677248021482,-18.101107053257415,-1.1253103010046763,6.039613253960852e-14,2.0852138012570265e-15,2.0852138012570265e-15
Anhui,2010,2009,10.401999999999987,-8.624532603593742,70.20279288596382,20.215940093183985,-112.15690963870959,40.76470926315535,1.7053025658242404e-13,1.6393987366124232e-14,1.6393987366124232e-14
Anhui,2011,2010,31.31400000000002,0.8052418620327851,67.55040046221771,13.242861897623039,-38.55385951725396,-11.730644704619449,-1.0658141036401503e-13,3.403634488216611e-15,3.403634488216611e-15
Anhui,2012,2011,19.543999999999983,0.34722977079220824,40.35640587033833,2.1647647521368945,-49.078186940724315,25.753786547456688,1.7408297026122455e-13,8.907233435388084e-15,8.907233435388084e-15
Anhui,2013,2012,22.41700000000003,0.6129724322499908,40.03205780038074,-0.27535560636272066,-5.260301668434844,-12.69237295783301,-1.2789769243681803e-13,5.705388430067264e-15,5.705388430067264e-15
Anhui,2014,2013,9.132000000000005,0.5746361585489957,30.362116081710628,-10.65840053507929,-31.958278277387013,20.81192657220664,4.263256414560601e-14,4.668480524047962e-15,4.668480524047962e-15
Anhui,2015,2014,4.125999999999976,0.9076578024234272,20.113818931905627,-25.40097998451799,11.194567327478671,-2.689064077289534,-2.2470914018413168e-13,5.446174022882525e-14,5.446174022882525e-14
Anhui,2016,2015,6.216000000000008,1.4409315930279107,39.420006693673564,-10.53910721375493,-33.213640600680336,9.107809527733501,2.984279490192421e-13,4.8009644308114816e-14,4.8009644308114816e-14
Anhui,2017,2016,6.135999999999967,1.5904662793014162,39.11348509103601,-7.65268942630123,-28.711965854370263,1.7967039103342584,-2.2737367544323206e-13,3.70556837423783e-14,3.70556837423783e-14
Anhui,2018,2017,12.682000000000016,1.2840468552009352,41.73186225884852,-12.149648084240624,-39.364042982086005,21.179781952276986,2.0250467969162855e-13,1.5967882013217812e-14,1.5967882013217812e-14
Anhui,2019,2018,7.076000000000022,1.1042322283279367,88.15011524958466,-46.439596225893936,-70.38825864518714,34.64950739316874,-2.3447910280083306e-13,3.313723894867614e-14,3.313723894867614e-14
Anhui,2020,2019,3.555999999999983,0.9064031936109322,16.67390380047647,-8.317282723195435,75.03540301659521,-80.74242728748749,2.984279490192421e-13,8.392237036536656e-14,8.392237036536656e-14
