scenario,year,P,A,S,EI,B,C,CO2
baseline,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
baseline,2023,141087.82512403227,8.965422903254945,0.39627370136424245,0.4391173203364305,1.1081162308391683,0.01937210288930392,10760.133352503646
baseline,2024,141200.74054427745,9.41566958598909,0.39311615876393896,0.42749651813715633,1.0874559811566085,0.01914102688357208,10878.925417472354
baseline,2025,141313.74633300139,9.888527815049676,0.3899837757319803,0.41618324888523006,1.067180931063285,0.018912707218787322,10999.028948966348
baseline,2026,141342.01190873134,10.323008910414686,0.38726342164924943,0.40665208364613975,1.0500658231916644,0.018593908661499823,11032.432177986022
baseline,2027,141370.2831381418,10.776580190462424,0.38456204355166446,0.3973391951182294,1.0332252019688688,0.018280483873231897,11065.93685011619
baseline,2028,141398.56002236358,11.250080437720156,0.3818795090711581,0.3882395844664722,1.016654665265449,0.017972342272038252,11099.543273431987
baseline,2029,141426.8425625278,11.744385289053637,0.37921568676300405,0.37934836733599564,1.0003498815519056,0.01766939480285143,11133.251756944166
baseline,2030,141455.13075976574,12.260408854969157,0.3765704460993763,0.3706607712303303,0.9843065887664312,0.017371553911744275,11167.062610601919
baseline,2031,141384.4208733306,12.76076563225566,0.3750671728658097,0.36312420257437733,0.9681577830440914,0.017027574097568512,11155.428693203157
baseline,2032,141313.74633300139,13.281542356995635,0.3735699007150104,0.3557408734072359,0.9522739190881016,0.016690405540069127,11143.8068960941
baseline,2033,141243.1071211095,13.823572383053623,0.37207860569059203,0.3485076679421334,0.9366506501906765,0.016359913367327474,11132.197206647754
baseline,2034,141172.50321999512,14.387723074110559,0.3705932639318024,0.34142153374494366,0.9212837009573196,0.01603596537806784,11120.599612250286
baseline,2035,141101.93461200732,14.9748971916307,0.3691138516731417,0.33447948044605097,0.9061688661368357,0.015718431988775157,11109.014100300985
policy_strengthening,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
policy_strengthening,2023,141087.82512403227,8.961030922155595,0.39611522358136636,0.43918072711623757,1.1087196375476467,0.01936048311385157,10749.963224350997
policy_strengthening,2024,141200.74054427745,9.406446749722724,0.3928017916005594,0.42761998461570316,1.0886406166154925,0.019118071427340188,10858.370322969378
policy_strengthening,2025,141313.74633300139,9.874002357988164,0.38951607587713877,0.41636356049462325,1.0689252287136737,0.018878694966004323,10967.870643842163
policy_strengthening,2026,141342.01190873134,10.303413814720665,0.38666362830561796,0.4068799492797089,1.0522839995648932,0.018544700033775882,10988.502546820306
policy_strengthening,2027,141370.2831381418,10.751499988400539,0.38383206936399505,0.3976123485186605,1.0359018442036363,0.018216614017124242,11009.173260925456
policy_strengthening,2028,141398.56002236358,11.219073025624242,0.3810212460836885,0.38855583809032135,1.019774729320417,0.017894332377686915,11029.882859166068
