province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Anhui,1990,62.208,658.0,5675.0,2027.25425202044,,,,,83.18927728581244,9.074770363337532,3.247450168719221e-07,7.729388423341928,33.97941308825352,17.94,1600.0,15.3655,0.1159471365638766,3.080933513708875,0.0306858401890148,MEIC_1990_2023,0.11594713656387665,0.09454103343465045,4.130483608837974,6.489204931325317,8.643825842349603,7.614437571255166,2.7321247365433856,-2.154620911024286,-2.3587213224873436,0,7.129884462297624,0.48455310895754256
Anhui,1991,65.676,663.6,5761.0,2173.655578691484,,,,,82.55615579125164,9.320818253317134,1.076075407352124e-06,8.193574460009485,35.37425795150152,17.96,1600.0,16.8866,0.1151883353584447,3.275550902187287,0.0302145384226585,MEIC_1990_2023,0.11518833535844472,0.09896925858951175,4.184733561949781,6.49767955831629,8.658866349732383,7.684165627665379,2.826520408009747,-2.161186791416094,-2.312945996366508,0,7.1695346298526355,0.5146309978127439
Anhui,1992,70.515,801.2,5834.0,2328.6464621489763,,,,,81.88197498510074,9.575909756671845,3.4136006397719525e-06,8.67839116873124,36.71896434062455,18.2,1800.0,19.0109,0.1373328762427151,2.9064484050786024,0.0302815395751082,MEIC_1990_2023,0.13733287624271512,0.0880117324013979,4.255825453144204,6.686110603791663,8.671458150427666,7.753042460229153,2.945012498883089,-1.9853475466360035,-2.43028515064746,0,7.290955596266056,0.46208686396309684
Anhui,1993,77.832,1037.1,5897.0,2492.5662194013994,,,,,81.16459073107599,9.840375684141916,1.0366985661088195e-05,9.184158477598666,38.00812324532162,18.48,1800.0,21.0164,0.1758690859759199,2.403400076560987,0.0312256498520194,MEIC_1990_2023,0.17586908597591994,0.07504772924501013,4.354552657673127,6.944183635595689,8.682199026000504,7.821068068946033,3.045303085319736,-1.7380153904048157,-2.589630977922562,0,7.448615126445309,0.3724529425007246
Anhui,1994,79.559,1488.47,5955.0,2665.7546141991456,,,,,80.40179777556799,10.114557244568376,3.0141303520369094e-05,9.711151110527306,39.2369778690848,18.78,1800.0,21.1063,0.249952980688497,1.790936071401604,0.0298448325199284,MEIC_1990_2023,0.24995298068849706,0.053450187104879504,4.376498884776563,7.305504025734755,8.691986481789401,7.888242453816474,3.049571574115473,-1.3864824560546456,-2.929005140958192,0,7.626875301664,0.2613671521524745
Anhui,1995,104.678,1810.6,6013.0,2848.550692127953,,,,,79.59134291716903,10.398806090460136,8.38959926084887e-05,10.25959480098282,40.4014064208149,19.09,1800.0,24.46,0.3011142524530184,1.5732633890025147,0.0367478101370217,MEIC_1990_2023,0.3011142524530184,0.05781398431459185,4.650888971633037,7.50141356104134,8.70167907103957,7.954565614840021,3.1970391302590264,-1.200265509998229,-2.8505245894083027,0,7.8055200523200545,0.1490455625199667
Anhui,1996,113.619,2339.25,6070.0,3041.2915374310223,,,,,78.73094148053035,10.69348432678412,0.0002235578023004,10.82966263365083,46.9,21.71,2200.0,28.1,0.3853789126853377,1.3001139414047334,0.0373587992474979,MEIC_1990_2023,0.38537891268533775,0.04857069573581276,4.732850745822867,7.7575856441560225,8.711113884053544,8.02003755201713,3.3357695763397,-0.9535282398975216,-3.0247348983331555,0,8.035160928154504,-0.015123376137374578
Anhui,1997,116.086,2669.95,6127.0,3434.6492894000003,2592.8377440000004,400.501391,0.0,441.3101544,75.49061128313755,11.660619680618504,0.0005703052225602,12.848769036243947,47.2,22.02,2200.0,28.36,0.4357679125183613,1.2864095917152008,0.0337985017446363,MEIC_1990_2023,0.43576791251836133,0.04347871682990318,4.754331295730824,7.88981502462719,8.720460512725655,8.141670100288227,3.344979701663927,-0.8306454880984645,-3.1354837288963657,0,8.086896375652227,0.054773724636000054
Anhui,1998,117.278,2805.45,6184.0,3669.0948412000007,2782.6574390000005,450.105313,0.0,436.3320892,75.84043366101474,12.267475562250397,0.0013928123243246,11.892090776734864,44.7,22.33,2300.0,30.8,0.4536626778783958,1.307845387085851,0.0319637417607999,MEIC_1990_2023,0.4536626778783958,0.041803632215865555,4.764547184786931,7.939319232897119,8.729720590267258,8.207700273353437,3.427514689979529,-0.7904013573701393,-3.1747720481101873,0,8.085965157462596,0.12173511589084107
Anhui,1999,120.639,2908.59273,6237.0,3736.501481600001,2825.6455690000007,472.9472250000001,0.0,437.9086876,75.62276056665809,12.657487955751598,0.003256440393618,11.71975147759031,43.97006,26.0,2200.0,32.57,0.466344834054834,1.2846423781028984,0.0322866190724328,MEIC_1990_2023,0.466344834054834,0.04147675910611246,4.792802615100623,7.975424645256198,8.738254576526122,8.225905019891075,3.4833916192881422,-0.7628299312699246,-3.1826220301555757,0,8.118450826686967,0.10745419320410754
Anhui,2000,127.87,3038.23588,6093.0,3944.290322,2990.248081,465.108087,0.0,488.934154,75.81206850624929,11.791933377869643,0.007288766669245,12.395998115881088,42.6666,28.0,1800.0,38.67,0.4986436697849992,1.298217280614828,0.0324190131965645,MEIC_1990_2023,0.4986436697849992,0.042086923152260314,4.851014122823077,8.019032323327949,8.714895850248494,8.280024324068131,3.6550641056192057,-0.6958635269205455,-3.168018200504872,0,8.139843959715092,0.14018036435303927
Anhui,2001,136.977,3246.71456,6128.0,4155.866665800001,3157.974939000001,468.03827400000006,0.0,529.8534528,75.98836038191551,11.26210996737796,0.0156176649179014,12.749529650706531,43.0,29.3,2200.0,45.1711,0.5298163446475196,1.2800221851963485,0.0329599120990163,MEIC_1990_2023,0.5298163446475196,0.04218941870886242,4.919813028522483,8.085398859399708,8.720623711420426,8.332276269365682,3.8104575018163107,-0.635224852020718,-3.1655858308772267,0,8.202571543804277,0.129704725561405
