province,province_id,year,true_energy,true_co2,target_stirpat_log,co2_per_energy,pred_residual,stirpat_energy_pred,hybrid_energy_pred,stirpat_co2_pred,hybrid_co2_pred,split
Anhui,0,1993,2492.566219399699,77.832,7.795311327456604,0.03122564985204075,0.011994766,2429.1855789346955,2458.498541313498,75.8528983134417,76.76821461280824,train
Anhui,0,1994,2665.7546141973276,79.559,7.872052676154305,0.029844832519948804,0.010018044,2622.94412095715,2649.352952519602,78.28132799915048,79.06949515417939,train
Anhui,0,1995,2848.550692126658,104.678,7.9415995706881475,0.03674781013703849,0.0073018447,2811.854673289786,2832.4615418293342,103.32950166699746,104.08675895960768,train
Anhui,0,1996,3041.2915374296394,113.619,8.013317724465779,0.03735879924751495,0.0060556903,3020.92309562086,3039.272373150507,112.85805947148111,113.54356644704815,train
Anhui,0,1997,3434.6492894000016,116.086,8.132859925582684,0.033798501744636375,0.006298449,3404.522335839091,3426.033217249172,115.06775410751102,115.79478967037832,train
Anhui,0,1998,3669.0948411999993,117.278,8.195462277105634,0.03196374176079992,0.005794894,3624.4661124052777,3645.530483103514,115.85149883769272,116.5247949430449,train
Anhui,0,1999,3736.5014816000007,120.639,8.21140750935654,0.0322866190724328,0.004554756,3682.72228616389,3699.53444611856,118.90265160293238,119.44545940717362,train
Anhui,0,2000,3944.290321999998,127.87,8.266973191029088,0.032419013196564594,0.0034368578,3893.1473272164,3906.550540384518,126.21199457719865,126.64651352177225,train
Anhui,0,2001,4155.866665800002,136.977,8.318171903348064,0.0329599120990163,0.0029263962,4097.662234423132,4109.6711805364985,135.05858705804516,135.45440086634355,train
Anhui,0,2002,4317.407140000003,144.987,8.356968323747779,0.033581961417704045,0.003209291,4259.760954610526,4273.4537275091925,143.05112802637282,143.51095819755724,train
Anhui,0,2003,4593.074901600004,163.38,8.419685916470133,0.03557094179828996,0.0030638855,4535.478712295799,4549.396209657314,161.33124930245694,161.82630779108126,train
Anhui,0,2004,4619.256121799996,164.799,8.430686644725686,0.03567652359050883,0.0030213688,4585.647723008638,4599.523607294976,163.5999691676808,164.09501248076148,train
Anhui,0,2005,4733.627922999996,177.772,8.45934273168654,0.0375551274607436,0.0022035837,4718.955358283117,4729.365437001071,177.22096996188142,177.61192179501055,train
Anhui,0,2006,5344.2818641999975,202.769,8.580457896769278,0.037941299720416787,0.00022035278,5326.543974263585,5327.717822381944,202.09600140151468,202.14053872479957,train
Anhui,0,2007,5705.769084879009,232.707,8.649874722878865,0.04078451064847718,0.0003360249,5709.431427816113,5711.350261368885,232.8563668645165,232.9346255519822,train
Anhui,0,2008,5940.832977167779,265.423,8.695177805168923,0.044677741491823096,0.00024396367,5974.034687491696,5975.492312737508,266.90637743093816,266.9715008348625,train
Anhui,0,2009,6322.435900866411,294.387,8.759752685492654,0.04656227514456222,-0.00024092756,6372.535362645203,6371.000228171302,296.71974492393855,296.64826557018085,train
