province,province_id,year,Population,pGDP,GDP,EnergyIntensity,Industry,Urbanization,Energy,stirpat_log_pred,pred_residual,hybrid_log_energy_pred,energy_pred,co2_pred,co2_per_energy_assumed,log_GDP,log_pGDP,log_Population,residual
Anhui,0,2024,6128.276762025426,8.149602888341578,49943.022000358986,0.2736393595599186,41.453971762776604,64.13151887138939,13914.003750144957,9.549801927524605,-0.009150851517915726,9.54065107600669,13914.003750144957,539.356035142329,0.03876353958411934,10.818638074625277,2.097969200708791,8.720668873916486,-0.009150851517915726
Anhui,0,2025,6135.562174804908,8.640325579732242,53013.25480500443,0.27282442146430536,41.48476611533192,65.33151887138939,14716.179394308641,9.605755165144052,-0.009052358567714691,9.596702806576337,14716.179394308641,570.4512024782845,0.03876353958411934,10.878297251927263,2.156440264945364,8.7218569869819,-0.009052358567714691
Anhui,0,2026,6142.856248622627,9.160596797983054,56272.22928160263,0.2720119103737134,41.51556046788724,66.5315188713894,15557.885952224897,9.661711331941413,-0.009388407692313194,9.6523229242491,15557.885952224897,603.0787279542841,0.03876353958411934,10.937956429229251,2.2149113291819367,8.723045100047315,-0.009388407692313194
Anhui,0,2027,6150.158993774992,9.712195787165916,59731.548269742045,0.2712018190601663,41.54635482044256,67.7315188713894,16441.407900823066,9.717670322935337,-0.010112019255757332,9.70755830367958,16441.407900823066,637.3271659822074,0.03876353958411934,10.99761560653124,2.2733823934185096,8.72423321311273,-0.010112019255757332
Anhui,0,2028,6157.470420570652,10.297008927301754,63403.527890212485,0.2703941403172136,41.57714917299788,68.9315188713894,17372.46340353018,9.773632038676489,-0.010990370064973831,9.762641668611515,17372.46340353018,673.4181728164067,0.03876353958411934,11.057274783833227,2.331853457655082,8.725421326178145,-0.010990370064973831
Anhui,0,2029,6164.79053933051,10.917036185477457,67301.24139376027,0.2695888669598666,41.607943525553196,70.1315188713894,18354.74090383131,9.829596384865589,-0.011953204870223999,9.817643179995365,18354.74090383131,711.4947255819194,0.03876353958411934,11.116933961135215,2.3903245218916553,8.72660943924356,-0.011953204870223999
Anhui,0,2030,6172.11936038774,11.574397955412355,71438.56570543286,0.2687859918245347,41.638737878108515,71.3315188713894,19390.948469021892,9.885563272003886,-0.013001609593629837,9.872561662410256,19390.948469021892,751.6617985525485,0.03876353958411934,11.176593138437203,2.448795586128228,8.727797552308974,-0.013001609593629837
Anhui,0,2031,6179.4568940878,12.271342308864451,75830.23083022374,0.2679855077689614,41.66953223066383,72.53151887138941,20483.832761653903,9.94153261507277,-0.014141406863927841,9.927391208208842,20483.832761653903,794.0258620908517,0.03876353958411934,11.236252315739192,2.5072666503648007,8.72898566537439,-0.014141406863927841
Anhui,0,2032,6186.803150788446,13.01025268367506,80491.8722959147,0.2671874076721609,41.70032658321915,73.73151887138941,21636.214737795002,9.997504333239688,-0.015380535274744034,9.982123797964944,21636.214737795002,838.6962664390229,0.03876353958411934,11.295911493041178,2.5657377146013736,8.730173778439806,-0.015380535274744034
Anhui,0,2033,6194.1581408597485,13.793656034743721,85440.08681982702,0.26639168443435485,41.73112093577447,74.93151887138941,22851.006508569284,10.053478349587783,-0.016727905720472336,10.03675044386731,22851.006508569284,885.7858953318942,0.03876353958411934,11.355570670343166,2.6242087788379465,8.73136189150522,-0.016727905720472336
Anhui,0,2034,6201.521874684106,14.624231475808429,90692.49139766979,0.26559833097690894,41.76191528832979,76.13151887138942,24131.214736000114,10.109454590867042,-0.018193092197179794,10.091261498669862,24131.214736000114,935.4112976318245,0.03876353958411934,11.415229847645154,2.6826798430745193,8.732550004570635,-0.018193092197179794
Anhui,0,2035,6208.894362656259,15.504819441584656,96267.78602485813,0.26480734024227015,41.79270964088511,77.33151887138942,25479.937941054253,10.165432987264872,-0.01978631317615509,10.145646674088717,25479.937941054253,987.6925829789609,0.03876353958411934,11.474889024947142,2.7411509073110922,8.73373811763605,-0.01978631317615509
Beijing,1,2024,2185.002627607472,21.134350119202647,46178.61054323407,0.10481666188838218,14.911068946972527,87.60099052198629,4902.629654963587,8.495234550181522,0.002292454242706299,8.497527004424228,4902.629654963587,79.74417998558748,0.01626559328315811,10.740271994609023,3.0508996845137064,7.689372310095316,0.002292454242706299
Beijing,1,2025,2184.0057102706114,22.312266722077926,48730.11793009913,0.09957582879396307,14.653282736367032,87.65118862638354,4924.021668779872,8.499499604150579,0.002381283789873123,8.501880887940452,4924.021668779872,80.09213378183087,0.01626559328315811,10.794052555906429,3.1051366044522815,7.688915951454148,0.002381283789873123
Beijing,1,2026,2183.0092477817975,23.55583415005563,51422.603788785724,0.0945970373542649,14.395496525761537,87.7013867307808,4946.9456297372435,8.503760520165581,0.002765100449323654,8.506525620614905,4946.9456297372435,80.46500560720247,0.01626559328315811,10.847833117203837,3.1593735243908565,7.688459592812981,0.002765100449323654
Beijing,1,2027,2182.0132399335034,24.868711431989006,54263.85760468568,0.08986718548655165,14.137710315156042,87.75158483517805,4970.2997571568985,8.508017148569015,0.003218282014131546,8.511235430583147,4970.2997571568985,80.84487434529363,0.01626559328315811,10.901613678501244,3.2136104443294315,7.688003234171813,0.003218282014131546
Beijing,1,2028,2181.0176865182975,26.2547615315962,57262.09925573153,0.08537382621222406,13.879924104550547,87.8017829395753,4993.417379214686,8.512269331440777,0.003606468439102173,8.515875799879879,4993.417379214686,81.22089618335937,0.01626559328315811,10.955394239798652,3.267847364268006,7.6875468755306455,0.003606468439102173
Beijing,1,2029,2180.0225873288423,27.71806271370821,60426.002792881285,0.08110513490161285,13.622137893945052,87.85198104397256,5016.646783695792,8.516516901978509,0.004000116139650345,8.52051701811816,5016.646783695792,81.59873622885901,0.01626559328315811,11.009174801096059,3.322084284206581,7.687090516889477,0.004000116139650345
Beijing,1,2030,2179.0279421578957,29.2629205440112,63764.72153454674,0.0770498781565322,13.364351683339557,87.90217914836981,5039.981576819265,8.52075968381872,0.004398021847009659,8.52515770566573,5039.981576819265,81.97829048315205,0.01626559328315811,11.062955362393467,3.3763212041451562,7.68663415824831,0.004398021847009659
Beijing,1,2031,2178.0337507983095,30.89388055759081,67287.91454756448,0.07319738424870559,13.106565472734061,87.95237725276706,5063.421448550105,8.524997490291783,0.004800219088792801,8.529797709380576,5063.421448550105,82.3595539033353,0.01626559328315811,11.116735923690873,3.4305581240837313,7.686177799607142,0.004800219088792801
Beijing,1,2032,2177.0400130430303,32.61574163355395,71005.7745913204,0.0695375150362703,12.848779262128566,88.00257535716432,5086.968237032631,8.529230123602929,0.005207177251577377,8.534437300854506,5086.968237032631,82.74255638791661,0.01626559328315811,11.170516484988282,3.4847950440223063,7.685721440965975,0.005207177251577377
Beijing,1,2033,2176.046728685099,34.433570115081125,74929.05760587126,0.06606063928445678,12.590993051523071,88.05277346156157,5110.621309612799,8.533457373930242,0.005618888884782791,8.539076262815025,5110.621309612799,83.12728764640265,0.01626559328315811,11.224297046285688,3.5390319639608814,7.685265082324807,0.005618888884782791
Beijing,1,2034,2175.053897517651,36.35271471645552,79069.11382937385,0.06275760732023394,12.333206840917576,88.10297156595882,5134.379986466781,8.537679018429309,0.006035353988409042,8.543714372417718,5134.379986466781,83.5137366210555,0.01626559328315811,11.278077607583095,3.5932688838994564,7.6848087236836395,0.006035353988409042
Beijing,1,2035,2174.061519333916,38.378822260930946,83437.92063484584,0.05961972695422224,12.075420630312081,88.15316967035608,5158.2432650135925,8.541894820132775,0.0064565278589725494,8.548351347991748,5158.2432650135925,83.90188700430065,0.01626559328315811,11.331858168880503,3.6475058038380315,7.684352365042471,0.0064565278589725494
Chongqing,2,2024,3191.786758496069,10.044273975437271,32059.18067350735,0.2225789834849357,35.678206717147454,74.22957764984419,7311.5300228364495,8.9031694593349,-0.005961623042821884,8.897207836292077,7311.5300228364495,178.2956592869319,0.02438554703735779,10.375338869801654,2.307002718445941,8.068336151355712,-0.005961623042821884
Chongqing,2,2025,3192.5737109717466,10.6791599513838,34094.005316050236,0.21647651871215087,34.773848060576945,75.42749317981303,7568.568402642824,8.937151847347357,-0.005392633378505707,8.931759213968851,7568.568402642824,184.56368078810652,0.02438554703735779,10.436876850634194,2.368294174201013,8.068582676433182,-0.005392633378505707
Chongqing,2,2026,3193.3608574748596,11.354176274574868,36257.98208409711,0.21054136567617068,33.86948940400644,76.62540870978187,7831.605130803782,8.97112737977595,-0.0052046142518520355,8.965922765524098,7831.605130803782,190.97797529522825,0.02438554703735779,10.498414831466736,2.4295856299560845,8.06882920151065,-0.0052046142518520355
Chongqing,2,2027,3194.1481980532462,12.071859533990198,38559.30837764669,0.2047689371784918,32.96513074743593,77.8233242397507,8103.2482176196245,9.005095498540554,-0.005075223743915558,9.000020274796638,8103.2482176196245,197.60214056614905,0.02438554703735779,10.559952812299276,2.490877085711156,8.06907572658812,-0.005075223743915558
Chongqing,2,2028,3194.9357327547573,12.834906653221443,41006.701892948964,0.19915477178817806,32.06077209086542,79.02123976971954,8382.358997309897,9.039055607786528,-0.0051709506660699844,9.033884657120458,8382.358997309897,204.40840961291977,0.02438554703735779,10.621490793131816,2.5521685414662274,8.06932225166559,-0.0051709506660699844
Chongqing,2,2029,3195.7234616272544,13.646185025022163,43609.433646169826,0.19369453039368173,31.15641343429491,80.21915529968838,8670.74482536697,9.073007069015013,-0.0052970945835113525,9.067709974431502,8670.74482536697,211.4408557879129,0.02438554703735779,10.683028773964358,2.613459997221299,8.069568776743058,-0.0052970945835113525
Chongqing,2,2030,3196.511384718612,14.508743286450006,46377.36309309718,0.18838399284920354,30.252054777724403,81.41707082965722,8968.73756954699,9.106949195537357,-0.005448989570140839,9.101500205967216,8968.73756954699,218.7075718679061,0.02438554703735779,10.744566754796898,2.6747514529763707,8.069815301820528,-0.005448989570140839
Chongqing,2,2031,3197.2995020767157,15.425822775092135,49320.97547792574,0.18321905471299976,29.347696121153895,82.61498635962606,9276.644676536316,9.140881246126819,-0.005626050755381584,9.135255195371437,9276.644676536316,226.2160551085311,0.02438554703735779,10.806104735629438,2.736042908731442,8.070061826897996,-0.005626050755381584
Chongqing,2,2032,3198.087813749463,16.40086970942431,52451.42155260258,0.17819572407511547,28.443337464583387,83.8129018895949,9594.779311331287,9.174802417713263,-0.0058280099183321,9.16897440779493,9594.779311331287,233.9739422095365,0.02438554703735779,10.86764271646198,2.7973343644865136,8.070308351975465,-0.0058280099183321
Chongqing,2,2033,3198.876319784763,17.43754813907521,55780.55981719455,0.17331011847209196,27.538978808012878,85.01081741956374,9923.449122614642,9.208711836931926,-0.006056003272533417,9.202655833659392,9923.449122614642,241.98873535234625,0.02438554703735779,10.92918069729452,2.8586258202415853,8.070554877052935,-0.006056003272533417
Chongqing,2,2034,3199.665020230537,18.539753713660744,59321.001441289474,0.16855846188626392,26.63462015144237,86.20873294953257,10262.969831859386,9.242608550293586,-0.006311016157269478,9.236297534136316,10262.969831859386,250.26813357779102,0.02438554703735779,10.99071867812706,2.9199172759966565,8.070801402130403,-0.006311016157269478
Chongqing,2,2035,3200.4539151347176,19.71162832192912,63086.158036598434,0.16393708182732705,25.73026149487186,87.40664847950141,10613.664357246931,9.276491512687459,-0.006593972444534302,9.269897540242924,10613.664357246931,258.8200114223729,0.02438554703735779,11.052256658959601,2.981208731751728,8.071047927207873,-0.006593972444534302
Fujian,3,2024,4194.602335274276,13.796570270496964,57871.12587540221,0.18496199139890826,44.4088221164561,72.18901381990256,10697.707986650781,9.276350217677008,0.001434572972357273,9.277784790649365,10697.707986650781,278.61894545384973,0.026044732741025138,10.965973849630098,2.6244200301507727,8.341553819479325,0.001434572972357273
Fujian,3,2025,4206.236851802153,14.648388176820685,61614.590168846116,0.17773530330438336,43.59058653974732,73.05281658388307,10947.383887626167,9.29974667189201,0.001109120436012745,9.300855792328022,10947.383887626167,285.1216875666283,0.026044732741025138,11.028653974866634,2.684330307350184,8.34432366751645,0.001109120436012745
Fujian,3,2026,4217.903638844377,15.552798410897438,65600.20501153736,0.17079097063012919,42.77235096303854,73.91661934786359,11203.63291456631,9.323139628655305,0.0008537434041500092,9.323993372059455,11203.63291456631,291.79562498843205,0.026044732741025138,11.091334100103172,2.744240584549595,8.347093515553576,0.0008537434041500092
Fujian,3,2027,4229.602785909274,16.513048090354065,69843.63420681536,0.1641179614093148,41.95411538632976,74.7804221118441,11467.257324259259,9.3465288775634,0.0007221866399049759,9.347251064203306,11467.257324259259,298.66165228289543,0.026044732741025138,11.154014225339708,2.804150861749006,8.349863363590702,0.0007221866399049759
