scenario,province,province_id,year,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,energy_pred,co2_pred,Population,pGDP,GDP,Energy,EnergyIntensity,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,CarbonIntensity,log_Population,log_pGDP,log_GDP,log_Energy,log_CarbonIntensity,energy_pred_raw
baseline,Anhui,0,2024,9.769687730148922,-0.2231435513142097,9.840259493462572,18774.587270524244,27462.378189670395,6124.0605,8.071088057506943,49427.83156499999,13520.281544199568,0.27401760113906365,33.83437242800366,24.14452518571115,4.631378412288851,37.38972397399634,40.22317741022128,63.681518871389386,0.010130535933654355,8.719980635892721,2.08828830064165,10.80826893653437,9.511946173655248,-4.592201056528267,13486.434216925809
baseline,Anhui,0,2025,9.790252964266841,-0.2231435513142097,9.882837205866307,19591.2282321356,28525.06429438879,6127.122530249999,8.47464246038229,51925.17275482161,14120.29662512132,0.27357917297724116,33.63437242800366,23.99452518571115,4.7313784122888505,37.63972397399634,39.02317741022128,64.43151887138939,0.010110274861787045,8.720480510934372,2.137078464811082,10.857558975745453,9.555368518271433,-4.594203059198939,14073.055613653378
baseline,Anhui,0,2026,9.806861395060492,-0.2231435513142097,9.924477586305295,20424.23747907096,29621.109153655354,6127.122530249999,8.856001371099492,54261.80552878857,14734.489227495085,0.27314144630047754,33.434372428003655,23.89452518571115,4.83137841228885,37.83972397399635,37.82317741022128,65.08151887138939,0.010090054312063472,8.720480510934372,2.181095350227856,10.901575861162227,9.597946230675168,-4.596205061869613,14671.434914833664
baseline,Anhui,0,2027,9.82347006591101,-0.2231435513142097,9.96523642399256,21273.903739217287,30731.68664278499,6127.122530249999,9.254521432798969,56703.58677758406,15360.992355830846,0.2727044199863968,33.23437242800365,23.794525185711148,4.93137841228885,38.039723973996345,36.623177410221274,65.7315188713894,0.010069874203439345,8.720480510934372,2.2251122356446307,10.945592746579003,9.639586611114158,-4.5982070645402855,15281.779523676023
baseline,Anhui,0,2028,9.845396108020472,-0.2231435513142097,10.00026060360079,22032.20671912581,31701.085707234248,6127.122530249999,9.670974897274922,59255.24818257534,15908.332484146738,0.2722680929144185,33.03437242800365,23.694525185711147,5.031378412288849,38.239723973996355,35.82317741022128,66.3815188713894,0.010049734455032466,8.720480510934372,2.269129121061405,10.989609631995776,9.674598306545851,-4.600209067210959,15826.494734065282
baseline,Anhui,0,2029,9.86732238941923,-0.2231435513142097,10.034837825381958,22807.343020220043,32685.934157618733,6127.122530249999,10.106168767652292,61921.73435079122,16475.381018161956,0.27183246396575544,32.83437242800365,23.594525185711145,5.131378412288849,38.43972397399636,35.02317741022128,67.03151887138941,0.010029634986122402,8.720480510934372,2.313146006478179,11.03362651741255,9.709622486154084,-4.602211069881632,16383.301900221786
baseline,Anhui,0,2030,9.887907211178359,-0.2231435513142097,10.063827750748507,23478.20330416135,32857.3239874806,6127.122530249999,10.560946362196646,64708.21239657683,16956.717466729548,0.2674831445423034,31.584372428003647,23.494525185711144,5.231378412288849,39.689723973996365,34.22317741022128,67.68151887138941,0.009829042286399954,8.720480510934372,2.357162891894953,11.077643402829326,9.738419345019752,-4.622413777199151,16865.20400319515
baseline,Anhui,0,2031,9.9038615363879,-0.2231435513142097,10.04842586904107,23119.36527812276,31466.19701781172,6124.058968984874,10.983384216684511,67262.89262199368,17067.586451233492,0.2614915221045558,30.18437242800365,23.394525185711142,5.2813784122888485,41.13972397399637,33.423177410221285,68.18151887138941,0.009553829102380755,8.71998038589269,2.3963836050482348,11.116363990940924,9.744936414534243,-4.65081325172085,16607.43826044038
baseline,Anhui,0,2032,9.919861864326045,-0.2231435513142097,10.04220525720045,22975.995068259566,30387.638557426733,6120.996939500382,11.422719585351892,69918.43162271,16806.727519565666,0.2556341120094137,28.78437242800365,23.29452518571114,5.331378412288848,42.589723973996364,32.62317741022129,68.68151887138941,0.009286321887514094,8.719480260851007,2.435604318201516,11.155084579052524,9.729534532826806,-4.679212726242548,16504.450488931685
baseline,Anhui,0,2033,9.93590716453167,-0.2231435513142097,10.042618935625024,22985.501707912685,29516.41932767685,6117.936441030632,11.879628368765967,72678.81130317459,16702.503894798865,0.24990790790040285,27.38437242800365,23.19452518571114,5.381378412288848,44.03972397399637,31.823177410221287,69.18151887138941,0.009026304874663698,8.718980135809325,2.4748250313547975,11.193805167164122,9.723313920986186,-4.707612200764245,16511.27943640512
