province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Anhui,1990,62.208,658.0,5675.0,2027.2542520213617,83.1892772858188,33.97941308839634,17.94,1600.0,15.3655,0.1159471365638766,3.080933513710276,0.0306858401890008,MEIC_1990_2023,0.11594713656387665,0.09454103343465045,4.130483608837974,6.489204931325317,8.643825842349603,7.614437571255621,2.7321247365433856,-2.154620911024286,-2.3587213224873436,0,4.175459930749517,-0.04497632191154288
Anhui,1991,65.676,663.6,5761.0,2173.655578692472,82.55615579125818,35.37425795164707,17.96,1600.0,16.8866,0.1151883353584447,3.275550902188776,0.0302145384226448,MEIC_1990_2023,0.11518833535844472,0.09896925858951175,4.184733561949781,6.49767955831629,8.658866349732383,7.684165627665834,2.826520408009747,-2.161186791416094,-2.312945996366508,0,4.233334817394977,-0.048601255445195335
Anhui,1992,70.515,801.2,5834.0,2328.6464621500354,81.88197498510074,36.71896434077249,18.2,1800.0,19.0109,0.1373328762427151,2.9064484050799244,0.0302815395750944,MEIC_1990_2023,0.13733287624271512,0.0880117324013979,4.255825453144204,6.686110603791663,8.671458150427666,7.753042460229608,2.945012498883089,-1.9853475466360035,-2.43028515064746,0,4.299735066393067,-0.043909613248863444
Anhui,1993,77.832,1037.1,5897.0,2492.566219402533,81.16459073108294,38.00812324545019,18.48,1800.0,21.0164,0.1758690859759199,2.40340007656208,0.0312256498520052,MEIC_1990_2023,0.17586908597591994,0.07504772924501013,4.354552657673127,6.944183635595689,8.682199026000504,7.821068068946488,3.045303085319736,-1.7380153904048157,-2.589630977922562,0,4.387335437035318,-0.03278277936219176
Anhui,1994,79.559,1488.47,5955.0,2665.754614200358,80.40179777557515,39.23697786923659,18.78,1800.0,21.1063,0.249952980688497,1.7909360714024185,0.0298448325199148,MEIC_1990_2023,0.24995298068849706,0.053450187104879504,4.376498884776563,7.305504025734755,8.691986481789401,7.888242453816929,3.049571574115473,-1.3864824560546456,-2.929005140958192,0,4.395760072429953,-0.01926118765338991
Anhui,1995,104.678,1810.6,6013.0,2848.5506921292485,79.59134291717642,40.4014064209682,19.09,1800.0,24.46,0.3011142524530184,1.5732633890032302,0.036747810137005,MEIC_1990_2023,0.3011142524530184,0.05781398431459185,4.650888971633037,7.50141356104134,8.70167907103957,7.954565614840476,3.1970391302590264,-1.200265509998229,-2.8505245894083027,0,4.648061323140499,0.0028276484925386924
Anhui,1996,113.619,2339.25,6070.0,3041.291537432405,78.73094148053795,46.9,21.71,2200.0,28.1,0.3853789126853377,1.3001139414053244,0.0373587992474809,MEIC_1990_2023,0.38537891268533775,0.04857069573581276,4.732850745822867,7.7575856441560225,8.711113884053544,8.020037552017584,3.3357695763397,-0.9535282398975216,-3.0247348983331555,0,4.721802984862464,0.01104776096040272
Anhui,1997,116.086,2669.95,6127.0,3434.6492894000003,75.49061128313755,47.2,22.02,2200.0,28.36,0.4357679125183613,1.2864095917152008,0.0337985017446363,MEIC_1990_2023,0.43576791251836133,0.04347871682990318,4.754331295730824,7.88981502462719,8.720460512725655,8.141670100288227,3.344979701663927,-0.8306454880984645,-3.1354837288963657,0,4.7453232391072575,0.009008056623566851
Anhui,1998,117.278,2805.45,6184.0,3669.0948412000007,75.84043366101474,44.7,22.33,2300.0,30.8,0.4536626778783958,1.307845387085851,0.0319637417607999,MEIC_1990_2023,0.4536626778783958,0.041803632215865555,4.764547184786931,7.939319232897119,8.729720590267258,8.207700273353437,3.427514689979529,-0.7904013573701393,-3.1747720481101873,0,4.759628596872114,0.004918587914817252
Anhui,1999,120.639,2908.59273,6237.0,3736.501481600001,75.62276056665809,43.97006,26.0,2200.0,32.57,0.466344834054834,1.2846423781028984,0.0322866190724328,MEIC_1990_2023,0.466344834054834,0.04147675910611246,4.792802615100623,7.975424645256198,8.738254576526122,8.225905019891075,3.4833916192881422,-0.7628299312699246,-3.1826220301555757,0,4.783729065719519,0.009073549381104051
Anhui,2000,127.87,3038.23588,6093.0,3944.290322,75.81206850624929,42.6666,28.0,1800.0,38.67,0.4986436697849992,1.298217280614828,0.0324190131965645,MEIC_1990_2023,0.4986436697849992,0.042086923152260314,4.851014122823077,8.019032323327949,8.714895850248494,8.280024324068131,3.6550641056192057,-0.6958635269205455,-3.168018200504872,0,4.848433748053624,0.002580374769452831
Anhui,2001,136.977,3246.71456,6128.0,4155.866665800001,75.98836038191551,43.0,29.3,2200.0,45.1711,0.5298163446475196,1.2800221851963485,0.0329599120990163,MEIC_1990_2023,0.5298163446475196,0.04218941870886242,4.919813028522483,8.085398859399708,8.720623711420426,8.332276269365682,3.8104575018163107,-0.635224852020718,-3.1655858308772267,0,4.9181641571729955,0.0016488713494871021
Anhui,2002,144.987,3519.71951,6144.0,4317.407140000001,75.42147648831656,43.5,30.7,2200.0,54.66,0.5728710139973958,1.2266338632194025,0.033581961417704,MEIC_1990_2023,0.5728710139973958,0.04119277106828322,4.976644083228895,8.16613658075806,8.723231274827508,8.370410301972514,4.001132180499922,-0.5570946940694473,-3.1894924975291654,0,4.977664117470072,-0.0010200342411765817
Anhui,2003,163.38,3923.1,6163.0,4593.074901600001,73.05966978311295,44.82451,32.0,2200.0,64.7311,0.6365568716534156,1.17077691152405,0.0355709417982899,MEIC_1990_2023,0.6365568716534156,0.041645637378603655,5.096078775913723,8.274637436580566,8.726318950962243,8.432304991965522,4.170241766079025,-0.4516815143816768,-3.1785586606668432,0,5.094461261331038,0.001617514582685331
Anhui,2004,164.799,4759.32,6228.0,4619.256121799999,67.59634724006743,45.08548,33.5,2400.0,68.2837,0.7641811175337186,0.9705706113058168,0.0356765235905088,MEIC_1990_2023,0.7641811175337186,0.034626585310506545,5.104726549495796,8.467860079877555,8.73681053295389,8.437988958514461,4.223671085093121,-0.26895045307633403,-3.363133530381759,0,5.096347182196972,0.008379367298823936
Anhui,2005,177.772,5350.17,6120.0,4733.627923,66.88903442569963,41.3,35.5,2400.0,80.4952,0.8742107843137255,0.8847621520437668,0.0375551274607436,MEIC_1990_2023,0.8742107843137255,0.03322735539244547,5.180501830363517,8.58488361508615,8.719317375506371,8.462447190238105,4.388197555317546,-0.1344337604202219,-3.404381784722633,0,5.170013965756575,0.010487864606941955
Anhui,2006,202.769,6112.5,6110.0,5344.281864200001,65.77422653447927,43.1,37.1,2400.0,94.6136,1.0004091653027822,0.8743201413824133,0.0379412997204167,MEIC_1990_2023,1.0004091653027822,0.033172842535787325,5.312067400072201,8.718091133783128,8.71768205216564,8.583782457874964,4.549801228938422,0.00040908161748636716,-3.406023733710926,0,5.301034338435315,0.01103306163688611
Anhui,2007,232.707,7360.92,6118.0,5705.7690848790135,65.6017428486321,44.7,38.7,2400.0,113.4234,1.2031578947368422,0.7751434718593618,0.0407845106484771,MEIC_1990_2023,1.2031578947368422,0.03161384718214571,5.449780151505996,8.903940203911073,8.718990524710849,8.649233062128589,4.731127719212932,0.18494967920022423,-3.454160052405077,0,5.431109495503996,0.018670656001999575
Anhui,2008,265.423,8851.66,6135.0,5940.832977167784,63.42320026240124,46.6,40.5,2900.0,134.8878,1.4428133659331703,0.6711546734926311,0.044677741491823,MEIC_1990_2023,1.4428133659331703,0.02998567500333271,5.581324779786007,9.088360291034274,8.721765357145012,8.689604634371552,4.904443321762997,0.36659493388926273,-3.5070355112482674,0,5.553721737135283,0.027603042650723886
Anhui,2009,294.387,10062.82,6131.0,6322.435900866413,61.826254951605634,48.7,42.1,2900.0,167.3613,1.641301582123634,0.62829663065288,0.0465622751445622,MEIC_1990_2023,1.6413015821236339,0.029254920588860776,5.684895228271049,9.216602722463406,8.721113147762688,8.751859840235142,5.120154948532814,0.495489574700718,-3.5317074941923563,0,5.657731119721281,0.02716410854976825
Anhui,2010,304.789,12359.33,5957.0,6914.118055930797,62.25259765493109,52.1,43.01,2900.0,209.8147,2.074757428235689,0.5594249895367142,0.0440821226271307,MEIC_1990_2023,2.074757428235689,0.024660640989438747,5.719619733922414,9.422166522422682,8.692322277628687,8.841320695246237,5.346224760237857,0.7298442447939942,-3.702546788500268,0,5.7020488606591675,0.01757087326324669
