split,year,province_idx,true_log_co2,stirpat_log_pred,residual_pred,hybrid_log_pred,true_co2,stirpat_co2_pred,hybrid_co2_pred,stirpat_abs_pct_err,hybrid_abs_pct_err
train,2011,1,4.5869656,4.565603,0.012917377,4.5785203,98.196,96.12051,97.37021,0.021136226,0.008409614
train,2012,1,4.6102076,4.5843043,0.014362277,4.5986667,100.505,97.935036,99.35176,0.025570486,0.011474418
train,2013,1,4.5748963,4.5434046,0.01465627,4.5580606,97.01798,94.010315,95.39828,0.031001134,0.016694896
train,2014,1,4.5475307,4.5158863,0.015388053,4.5312743,94.39902,91.45859,92.87683,0.031148944,0.016125023
train,2015,1,4.608186,4.56824,0.015578983,4.583819,100.302025,96.37435,97.8875,0.039158463,0.024072574
train,2016,1,4.503115,4.468273,0.016329732,4.484603,90.29799,87.20601,88.64174,0.03424196,0.018342048
train,2017,1,4.4473343,4.417313,0.016511295,4.4338245,85.398994,82.873314,84.25303,0.029575061,0.0134189585
train,2018,1,4.4891305,4.456541,0.016317118,4.472858,89.04399,86.188866,87.60674,0.03206421,0.016140878
train,2019,1,4.483861,4.4465203,0.016122686,4.462643,88.576004,85.329506,86.71641,0.036652118,0.020994358
train,2020,1,4.361569,4.3265004,0.015533853,4.3420343,78.38001,75.67898,76.86375,0.034460757,0.019345058
train,1993,2,3.720814,3.7238555,-0.00035321154,3.7235024,41.297997,41.423794,41.409172,0.0030460865,0.0026920321
train,1994,2,3.7404516,3.7466486,-0.0003561671,3.7462924,42.117004,42.378815,42.36372,0.006216261,0.0058578607
train,1995,2,3.8830473,3.8713226,-0.0015724739,3.8697503,48.572002,48.005833,47.930412,0.011656298,0.013209052
train,1996,2,3.9463472,3.9362514,-0.0012507732,3.9350007,51.746006,51.226215,51.16218,0.0100450395,0.011282497
train,1997,2,4.0634727,4.0526595,-0.0019414895,4.050718,58.17599,57.55031,57.438675,0.010755001,0.01267389
train,1998,2,4.1641817,4.1557684,-0.003409334,4.152359,64.34001,63.800972,63.583817,0.008377984,0.011753107
train,1999,2,4.2483525,4.2423253,-0.0037425165,4.2385826,69.99001,69.569435,69.30954,0.0060091144,0.009722435
train,2000,2,4.2987266,4.3047013,-0.002738615,4.301963,73.606,74.047104,73.8446,0.0059927325,0.0032415027
train,2001,2,4.212098,4.215495,-0.0024543698,4.213041,67.49801,67.72769,67.56167,0.0034028103,0.000943134
train,2002,2,4.2898154,4.293442,-0.0016397783,4.291802,72.953,73.21804,73.09807,0.0036329902,0.0019884761
train,2003,2,4.2417583,4.245286,-0.0023707612,4.242915,69.53001,69.77572,69.61049,0.0035339028,0.0011575216
train,2004,2,4.270718,4.267671,-0.0024903375,4.2651806,71.57301,71.35526,71.17777,0.0030423554,0.005522204
train,2005,2,4.476723,4.4784975,-0.0016853078,4.4768124,87.946014,88.102196,87.953865,0.0017758773,8.926666e-05
train,2006,2,4.5884614,4.5890684,-0.0019205171,4.5871477,98.343,98.40271,98.2139,0.00060713664,0.0013127992
train,2007,2,4.665164,4.6621957,-0.0007344885,4.6614614,106.183,105.86828,105.790565,0.002963941,0.0036958193
train,2008,2,4.8833623,4.875085,0.00063278945,4.8757176,132.07399,130.98528,131.06818,0.008243217,0.0076155313
train,2009,2,4.913199,4.9112897,-0.00074138073,4.910548,136.074,135.81445,135.71379,0.0019074327,0.0026471936
train,2010,2,4.9646893,4.9690213,-0.0021533272,4.966868,143.26402,143.886,143.57649,0.004341486,0.0021810743
train,2011,2,5.0771904,5.0697384,-0.003546908,5.0661917,160.32298,159.13269,158.5693,0.00742434,0.010938403
train,2012,2,5.117335,5.111432,-0.004908038,5.106524,166.88998,165.90776,165.09547,0.0058854553,0.010752652
train,2013,2,5.0682373,5.0562243,-0.0051426343,5.0510817,158.894,156.99664,156.19131,0.0119410055,0.017009342
train,2014,2,5.067463,5.0684032,-0.0018290216,5.066574,158.77101,158.92038,158.62994,0.00094077806,0.0008884966
train,2015,2,5.0845175,5.089687,-0.0031111692,5.0865755,161.502,162.33902,161.83472,0.0051827277,0.0020601472
train,2016,2,5.0503497,5.058677,-0.0045350944,5.054142,156.07704,157.38219,156.67006,0.008362186,0.0037995183
train,2017,2,5.049221,5.058937,-0.004878443,5.0540586,155.90097,157.4231,156.65697,0.009763411,0.004849211
train,2018,2,5.0132055,5.0214324,-0.006132701,5.0153,150.38603,151.62834,150.70131,0.008260804,0.002096452
train,2019,2,5.01476,5.018425,-0.0062711905,5.0121536,150.61998,151.17302,150.22792,0.0036717542,0.0026029702
train,2020,2,5.0131187,5.018835,-0.0047566458,5.0140786,150.37299,151.23503,150.5174,0.0057327137,0.0009603399
train,1993,3,3.5202832,3.5307508,-0.007859336,3.5228915,33.794,34.149593,33.882256,0.01052242,0.0026116127
train,1994,3,3.5565474,3.5685527,-0.005997144,3.5625556,35.042004,35.46523,35.253174,0.01207766,0.0060262023
train,1995,3,3.6759968,3.6744378,-0.005344833,3.669093,39.488,39.426483,39.216316,0.0015578355,0.0068801343
train,1996,3,3.7963202,3.7849581,-0.005348245,3.77961,44.536995,44.03383,43.798954,0.011297713,0.016571412
train,1997,3,3.7605255,3.772774,-0.0054603,3.7673137,42.970997,43.50057,43.26369,0.012323929,0.0068114335
train,1998,3,3.8193154,3.825702,-0.0090790205,3.816623,45.572998,45.864983,45.45046,0.006406964,0.0026888624
train,1999,3,3.9402215,3.958581,-0.010733081,3.9478478,51.429993,52.38294,51.823715,0.018528989,0.007655504
train,2000,3,3.9716306,3.9753997,-0.010370988,3.9650288,53.070995,53.271404,52.72179,0.0037762423,0.0065799598
train,2001,3,3.9999971,4.0057907,-0.007214798,3.998576,54.597996,54.91523,54.520454,0.0058103604,0.0014202234
train,2002,3,4.1778584,4.183683,-0.0065695015,4.1771135,65.22601,65.60703,65.177444,0.005841528,0.000744622
train,2003,3,4.391544,4.389093,-0.005023262,4.3840694,80.765015,80.56731,80.16359,0.0024479427,0.0074466052
train,2004,3,4.5285053,4.5210123,-0.0015588724,4.5194535,92.62002,91.928604,91.785416,0.007465059,0.009011037
train,2005,3,4.768657,4.764331,0.0017031017,4.766034,117.76101,117.25264,117.45252,0.004316959,0.0026196018
train,2006,3,4.8895745,4.8855085,0.002587411,4.888096,132.89703,132.35776,132.70065,0.0040578493,0.00147769
train,2007,3,5.0286193,5.02017,0.0047967522,5.024967,152.722,151.43707,152.16527,0.008413506,0.003645396
train,2008,3,5.0983286,5.088087,0.0076734307,5.0957603,163.74799,162.07953,163.32799,0.010189176,0.002564906
train,2009,3,5.22169,5.20866,0.008774515,5.2174344,185.24701,182.84888,184.46031,0.012945592,0.004246748
train,2010,3,5.2617884,5.256022,0.008343613,5.2643657,192.82603,191.71732,193.32364,0.0057498403,0.002580587
train,2011,3,5.411003,5.395098,0.007290873,5.402389,223.85602,220.32379,221.936,0.015779011,0.008577001
train,2012,3,5.4038386,5.3931117,0.0087652635,5.401877,222.25793,219.88654,221.82236,0.010669581,0.0019597833
train,2013,3,5.4198356,5.4089894,0.0077383746,5.416728,225.84198,223.4057,225.14125,0.010787539,0.003102742
train,2014,3,5.430345,5.428174,0.0072581875,5.4354324,228.22797,227.73303,229.39203,0.0021685953,0.0051004374
train,2015,3,5.393396,5.393945,0.005061149,5.3990064,219.94905,220.06989,221.18652,0.00054937426,0.005626178
train,2016,3,5.315779,5.3237486,0.002243536,5.325992,203.52304,205.15147,205.61224,0.008001223,0.010265191
train,2017,3,5.401226,5.402787,-0.00027010543,5.4025173,221.67804,222.02438,221.96446,0.001562374,0.0012920663
train,2018,3,5.5127187,5.504134,-0.0006557279,5.5034785,247.82397,245.70561,245.54457,0.008547851,0.009197672
train,2019,3,5.540883,5.5302057,-6.827386e-05,5.5301375,254.90302,252.1958,252.1786,0.010620566,0.01068803
train,2020,3,5.534997,5.5257792,7.103523e-05,5.5258503,253.40703,251.0819,251.09975,0.009175492,0.009105042
train,1993,4,3.8540337,3.8644361,-0.0066109817,3.8578253,47.183002,47.67638,47.362236,0.010456683,0.003798689
train,1994,4,3.9046357,3.9112945,-0.00451328,3.9067812,49.631996,49.963585,49.738594,0.0066809473,0.0021477658
train,1995,4,3.9441998,3.9443378,-0.003265807,3.941072,51.635002,51.64213,51.47375,0.00013807822,0.0031229022
