province,year,base_year,delta_CO2,delta_P,delta_A,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
InnerMongolia,2007,2006,51.29199999999997,1.7616231505496223,77.99041160113296,-46.24035310681629,17.7803183551336,8.526512829121202e-14,1.6623475062624204e-15,1.6623475062624204e-15
InnerMongolia,2008,2007,67.36000000000001,2.2394867613420564,99.50797269774922,-37.57026565904755,3.1828061999564206,-1.2789769243681803e-13,1.898718711948011e-15,1.898718711948011e-15
InnerMongolia,2009,2008,30.656000000000006,2.3626059628601976,54.15815116806177,12.652296629774442,-38.51705376069676,3.481659405224491e-13,1.135718751704231e-14,1.135718751704231e-14
InnerMongolia,2010,2009,32.79899999999998,2.529316746552318,78.04413802620914,-52.79545881103465,5.021004038273161,1.4210854715202004e-14,4.332709751883293e-16,4.332709751883293e-16
InnerMongolia,2011,2010,112.28199999999998,-0.41768252765777397,107.36599233165012,-29.675146580331432,35.0088367763392,-1.4210854715202004e-13,1.2656396141146404e-15,1.2656396141146404e-15
InnerMongolia,2012,2011,26.60699999999997,-1.4286794428061695,60.55816612649955,-70.18325687965621,37.66077019596296,-1.5631940186722204e-13,5.875123158087053e-15,5.875123158087053e-15
InnerMongolia,2013,2012,-32.04099999999994,-2.1394452084873543,39.085708784955784,-25.57905264168531,-43.40821093478294,-1.2079226507921703e-13,3.769928063394315e-15,3.769928063394315e-15
InnerMongolia,2014,2013,6.606999999999971,-1.3998827735616408,29.565268899777728,-28.25667535057724,6.698289224360901,2.2115642650533118e-13,3.347304775319088e-14,3.347304775319088e-14
InnerMongolia,2015,2014,-5.27800000000002,-2.108722988206404,4.08168981601228,20.646158562089,-27.89712538989502,1.2434497875801753e-13,2.35591092758653e-14,2.35591092758653e-14
InnerMongolia,2016,2015,2.9200000000000728,-0.9377783184649,10.366590315655735,4.566786452002293,-11.075598449192801,-2.540190280342358e-13,8.69928178199416e-14,8.69928178199416e-14
InnerMongolia,2017,2016,45.46399999999994,-0.7338014101709608,-70.05646435891444,68.0759201034637,48.17834566562152,1.1368683772161603e-13,2.5005903070916807e-15,2.5005903070916807e-15
InnerMongolia,2018,2017,107.31700000000001,-3.0393548762176366,50.99605447060061,57.37595562576028,1.9843447798569394,-1.8474111129762605e-13,1.721452438081814e-15,1.721452438081814e-15
InnerMongolia,2019,2018,71.43799999999999,-2.202543417201659,-1.180445315804612,70.9148926155357,3.9060961174698883,6.679101716144942e-13,9.349508267511609e-15,9.349508267511609e-15
InnerMongolia,2020,2019,37.822,-4.0648697749754135,11.017966598784904,51.59129825760002,-20.722395081409427,-8.526512829121202e-14,2.2543791521128447e-15,2.2543791521128447e-15
InnerMongolia,2021,2020,1.6180000000000518,-1.044205930931686,140.60301059536064,-153.03700177397448,15.096197109545699,-1.1368683772161603e-13,7.02638057611943e-14,7.02638057611943e-14
InnerMongolia,2022,2021,21.057000000000016,0.3529185160294183,102.36680869437295,-63.882369557382574,-17.780357653019156,-6.217248937900877e-13,2.95258058503152e-14,2.95258058503152e-14
InnerMongolia,2023,2022,46.26699999999994,-1.8359063456417202,55.97789017033568,-60.04002908489747,52.165045260202824,6.252776074688882e-13,1.351454832750965e-14,1.351454832750965e-14
Jiangsu,1991,1990,7.044000000000011,1.4266361994370713,14.041574016178453,4.664588835499322,-13.08879905111482,-1.5987211554602254e-14,2.26962117470219e-15,2.26962117470219e-15
Jiangsu,1992,1991,10.682999999999993,1.3143405982699465,37.55177803909679,-17.94971742346225,-10.23340121390452,3.019806626980426e-14,2.826740266760674e-15,2.826740266760674e-15
