province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual,scenario,stirpat_co2_pred,pred_residual,pred_log_co2,pred_co2
Anhui,2024,,49427.83156499999,6124.0605,13197.447696454317,31.834372428013843,39.923177410221285,63.68151887148752,5610.4796560301575,1248.233595,,,,,8.071088057506943,0.009795558292561575,,10.80826893653437,8.719980635892721,9.487778733549499,7.129484706894997,2.08828830064165,-4.625826231500745,0,6.189151080998984,,low_carbon,487.432140122005,-0.014927273616194725,6.1742238073827895,480.2101436577596
Anhui,2025,,51925.17275482161,6127.122530249999,13487.791545776312,29.834372428013843,38.423177410221285,64.43151887148753,5694.395956931921,1310.64527475,,,,,8.47464246038229,0.00945271375232192,,10.857558975745453,8.720480510934372,9.509540225331012,7.1782748710644295,2.137078464811082,-4.6614534091438955,0,6.203219553955172,,low_carbon,494.33802976223376,-0.016606571152806282,6.186612982802366,486.19655816365326
Anhui,2026,,54261.80552878857,6127.122530249999,13690.108418962955,28.334372428013843,37.323177410221284,65.08151887148753,5779.567399281256,1356.51785936625,,,,,8.856001371099492,0.009169132339752263,,10.901575861162227,8.720480510934372,9.524428837824763,7.212676297781762,2.181095350227856,-4.6919126166286045,0,6.216218645643457,,low_carbon,500.80592242448915,-0.017746413126587868,6.1984722325168695,491.9968098944265
Anhui,2027,,56703.58677758406,6127.122530249999,13895.460045247397,26.834372428013843,36.22317741022128,65.73151887148754,5866.012756308589,1403.9959844440687,,,,,9.254521432798969,0.008894058369559695,,10.945592746579003,8.720480510934372,9.539317450318512,7.2470777244990945,2.2251122356446307,-4.722371824113313,0,6.229217737331743,,low_carbon,507.35844065259636,-0.01856880448758602,6.210648932844157,498.0243307924588
Anhui,2028,,59255.24818257534,6127.122530249999,14103.891945926107,25.334372428013843,35.12317741022128,66.38151887148754,5953.751082036747,1453.135843899611,,,,,9.670974897274922,0.008627236618472905,,10.989609631995776,8.720480510934372,9.554206062812263,7.281479151216427,2.269129121061405,-4.752831031598022,0,6.242216829020026,,low_carbon,513.9966916829853,-0.019292814657092094,6.222924014362934,504.17529460820737
Anhui,2029,,61921.73435079122,6127.122530249999,14315.450325114996,23.834372428013843,34.02317741022128,67.03151887148755,6042.801715480789,1503.9955984360972,,,,,10.106168767652292,0.008368419519918718,,11.03362651741255,8.720480510934372,9.569094675306014,7.315880577933759,2.313146006478179,-4.78329023908273,0,6.25521592070831,,low_carbon,520.721797239114,-0.020039552822709084,6.235176367885601,510.3906270264663
Anhui,2030,,64708.21239657683,6127.122530249999,14530.18207999172,22.334372428013843,32.92317741022128,67.68151887148755,6133.184284910652,1556.6354443813605,,,,,10.560946362196646,0.008117366934321156,,11.077643402829326,8.720480510934372,9.583983287799764,7.350282004651091,2.357162891894953,-4.813749446567439,0,6.268215012396596,,low_carbon,527.5348937210082,-0.020799074321985245,6.247415938074611,516.6759754457285
Anhui,2031,,67262.89262199368,6124.058968984874,14631.893354551661,21.034372428013842,32.12317741022128,68.18151887148755,6224.918712177555,1587.7681532689876,,,,,10.983384216684511,0.007914432760963127,,11.116363990940924,8.71998038589269,9.590958901536188,7.370084631947271,2.3963836050482348,-4.839067254551728,0,6.280134936726579,,low_carbon,533.8606963803522,-0.021577823907136917,6.258557112819442,522.4645385957133
Anhui,2032,,69918.43162271,6120.996939500382,14734.316608033521,19.73437242801384,31.32317741022128,68.68151887148755,6318.025217105109,1619.5235163343673,,,,,11.422719585351892,0.007716571941939049,,11.155084579052524,8.719480260851007,9.597934515272614,7.389887259243451,2.435604318201516,-4.8643850625360185,0,6.292054861056561,,low_carbon,540.262353319216,-0.02225552126765251,6.269799339788909,528.3713441342181
Anhui,2033,,72678.81130317459,6117.936441030632,14837.456824289755,18.43437242801384,30.52317741022128,69.18151887148755,6412.5243219461145,1651.9139866610547,,,,,11.879628368765967,0.007523657643390572,,11.193805167164122,8.718980135809325,9.60491012900904,7.40968988653963,2.4748250313547975,-4.889702870520308,0,6.303974785386546,,low_carbon,546.7407741252113,-0.022931670770049095,6.281043114616497,534.3457570884669
Anhui,2034,,75548.17077342393,6114.877472810117,14941.31902205978,17.13437242801384,29.72317741022128,69.68151887148755,6508.436855906013,1684.9522663942757,,,,,12.354813503516606,0.0073355662023058075,,11.232525755275722,8.718480010767642,9.611885742745464,7.42949251383581,2.5140457445080786,-4.9150206785045985,0,6.315894709716529,,low_carbon,553.2968792930377,-0.023616619408130646,6.292278090308399,540.3829691421323
Anhui,2035,,78530.81255555872,6111.820034073712,15045.908255214197,15.83437242801384,28.923177410221278,70.18151887148755,6605.7839597339935,1718.6513117221614,,,,,12.84900604365727,0.007152177047248162,,11.27124634338732,8.71797988572596,9.61886135648189,7.44929514113199,2.5532664576613597,-4.940338486488888,0,6.327814634046514,,low_carbon,559.9316003552811,-0.024314260110259056,6.303500373936255,546.4814555583375
Beijing,2024,,45971.70936749999,2187.093,4934.485480846778,0.0,13.668855157566318,88.30079241757416,1580.092544760691,671.979,,,,,21.019549405306496,0.0019535865514034106,,10.735781472522698,7.690328543778135,8.504003687231966,6.510227090034858,3.0454529287445635,-6.238088338638792,1,4.444444491655614,,low_carbon,85.1525617377041,0.015854083001613617,4.4602985746572275,86.51333593013945
Beijing,2025,,48294.42998329293,2188.1865464999996,5043.044161425407,0.0,12.168855157566318,89.05079241757416,1627.4639528116265,705.5779500000001,,,,,22.070526875571822,0.0018852110221042912,,10.785071511733781,7.690828418819786,8.52576517901348,6.55901725420429,3.0942430929139957,-6.273715516281943,1,4.457779689188937,,low_carbon,86.29569296937208,0.01491500437259674,4.472694693561534,87.59244006247346
Beijing,2026,,50467.679332541105,2188.1865464999996,5118.6898238467875,0.0,11.068855157566318,89.70079241757416,1676.255562678063,730.27317825,,,,,23.06370058497255,0.0018286546914411624,,10.829088397150556,7.690828418819786,8.540653791507228,6.593418680921623,3.13825997833077,-6.304174723766652,1,4.470228824310073,,low_carbon,87.37671464251295,0.014392413198947906,4.484621237509021,88.64336967021838
Beijing,2027,,52738.724902505455,2188.1865464999996,5195.470171204489,0.0,9.968855157566319,90.35079241757417,1726.5099522203536,755.8327394887499,,,,,24.101567111296315,0.0017737950506979275,,10.87310528256733,7.690828418819786,8.55554240400098,6.6278201076389545,3.182276863747544,-6.334633931251361,1,4.482677959431211,,low_carbon,88.47127821812428,0.013691496104001999,4.496369455535213,89.69091263674466
Beijing,2028,,55111.9675231182,2188.1865464999996,5273.402223772556,0.0,8.868855157566319,91.00079241757417,1778.2709757893995,782.2868853708561,,,,,25.186137631304646,0.0017205811991769897,,10.917122167984104,7.690828418819786,8.57043101649473,6.662221534356287,3.2262937491643187,-6.365093138736069,1,4.495127094552345,,low_carbon,89.57955333491601,0.013549838215112686,4.508676932767457,90.8016023762857
Beijing,2029,,57592.00606165851,2188.1865464999996,5352.503257129144,0.0,7.768855157566319,91.65079241757418,1831.5838024960233,809.666926358836,,,,,26.319513824713354,0.00166896376320168,,10.961139053400878,7.690828418819786,8.585319628988481,6.696622961073619,3.270310634581093,-6.395552346220778,1,4.507576229673483,,low_carbon,90.70171175665453,0.013365823775529861,4.520942053449013,91.9221527831994
Beijing,2030,,60183.64633443314,2188.1865464999996,5432.790805986081,0.0,6.66885515756632,92.30079241757419,1886.4949556276672,838.0052687813952,,,,,27.503891946825455,0.0016188948503056294,,11.005155938817653,7.690828418819786,8.600208241482232,6.731024387790952,3.314327519997867,-6.426011553705486,1,4.52002536479462,,low_carbon,91.83792739878079,0.013162173330783844,4.533187538125404,93.05470426511738
Beijing,2031,,62559.69669171658,2187.09245322675,5470.820341627983,0.0,5.86885515756632,92.80079241757419,1943.0523532468076,854.7653741570232,,,,,28.604047624698474,0.0015784224790479887,,11.043876526929251,7.690328293778103,8.607183855218658,6.750827015087132,3.3535482331511486,-6.451329361689776,1,4.531468660099742,,low_carbon,92.89489196704302,0.012935243546962738,4.544403903646705,94.10431524785194
Beijing,2032,,65029.553517105545,2185.9989070001366,5509.116084019378,0.0,5.06885515756632,93.30079241757419,2001.3053500065168,871.8606816401636,,,,,29.748209529686413,0.0015389619170717889,,11.082597115040851,7.689828168736422,8.614159468955082,6.770629642383311,3.3927689463044297,-6.476647169674066,1,4.542911955404866,,low_carbon,93.9640211619493,0.012735985219478607,4.555647940624344,95.16839873445163
Beijing,2033,,67596.92028996088,2184.9059075466366,5547.679896607513,0.0,4.26885515756632,93.80079241757419,2061.3047802196616,889.2978952729669,,,,,30.93813791087387,0.001500487869144994,,11.12131770315245,7.689328043694739,8.621135082691508,6.790432269679491,3.431989659457711,-6.501964977658356,1,4.554355250709986,,low_carbon,95.04545498643395,0.01249406486749649,4.566849315577483,96.24040843486702
Beijing,2034,,70265.64670300853,2183.8134545928633,5586.513655883765,0.0,3.4688551575663205,94.30079241757419,2123.103002219322,907.0838531784262,,,,,32.17566342730883,0.0014629756724163692,,11.16003829126405,7.688827918653057,8.628110696427932,6.810234896975671,3.4712103726109924,-6.527282785642646,1,4.5657985460151105,,low_carbon,96.13933505472883,0.012205220758914948,4.578003766774025,97.31992689895648
Beijing,2035,,73039.73443484333,2182.721547865567,5625.619251474951,0.0,2.6688551575663206,94.80079241757419,2186.753944049144,925.2255302419948,,,,,33.46268996440118,0.0014264012806059598,,11.198758879375648,7.688327793611375,8.635086310164358,6.830037524271851,3.5104310857642735,-6.552600593626936,1,4.57724184132023,,low_carbon,97.24580461090552,0.011893883347511292,4.589135724667742,98.40934063128032
Chongqing,2024,,31668.916545000004,3192.5955,7050.74849693347,22.49264471135521,35.08256537367576,73.78166211990894,2920.7632284834735,637.133175,,,,,9.919489188342213,0.005373702140928417,,10.363090928180196,8.068589501319895,8.8608890599485,6.456978699654992,2.2945014268603017,-5.226238196277943,2,5.141068523281877,,low_carbon,170.89827958576032,-0.006027378607541323,5.135041144674336,169.87130903058784
Chongqing,2025,,33268.988553436124,3194.1917977499998,7205.864963866006,20.49264471135521,33.58256537367576,74.53166211990894,3081.95731100477,668.9898337500001,,,,,10.415463647759324,0.005185622565995922,,10.412380967391279,8.069089376361546,8.882650551730013,6.505768863824424,2.343291591029734,-5.261865373921093,2,5.155136996238066,,low_carbon,173.31954925876315,-0.005762374494224787,5.149374621743841,172.3236891239075
Chongqing,2026,,34766.09303834075,3194.1917977499998,7313.952938323996,18.99264471135521,32.48256537367576,75.18166211990895,3252.0475382003383,692.4044779312501,,,,,10.884159511908493,0.005030053889016044,,10.456397852808053,8.069089376361546,8.897539164223764,6.540170290541757,2.387308476446508,-5.292324581405802,2,5.168136087926348,,low_carbon,175.587253083644,-0.005121762398630381,5.163014325527717,174.69023600819747
Chongqing,2027,,36330.56722506608,3194.1917977499998,7423.662232398855,17.49264471135521,31.38256537367576,75.83166211990896,3431.5248796444193,716.6386346588438,,,,,11.373946689944374,0.004879152272345563,,10.500414738224828,8.069089376361546,8.912427776717513,6.574571717259089,2.431325361863282,-5.3227837888905105,2,5.181135179614632,,low_carbon,177.8846274255522,-0.005315680522471666,5.17581949909216,176.9415583239748
