province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual,scenario,stirpat_co2_pred,pred_residual,pred_log_co2,pred_co2
Anhui,2024,,49427.83156499999,6124.0605,13274.927819916868,32.63437242801384,40.423177410221285,63.68151887148752,5610.4796560301575,1248.233595,,,,,8.071088057506943,0.009897066668650296,,10.80826893653437,8.719980635892721,9.49363240880096,7.129484706894997,2.08828830064165,-4.615516861841884,0,6.198807605140169,,extensive,492.16183982692945,-0.014927273616194725,6.183880331523974,484.8697661729908
Anhui,2025,,51925.17275482161,6127.122530249999,13646.62579887454,31.43437242801384,39.423177410221285,64.43151887148753,5694.395956931921,1310.64527475,,,,,8.47464246038229,0.009649640001934039,,10.857558975745453,8.720480510934372,9.521247575833932,7.1782748710644295,2.137078464811082,-4.640834669826173,0,6.2225326022375365,,extensive,503.97799290023124,-0.01659531146287918,6.205937290774657,495.6833376953946
Anhui,2026,,54261.80552878857,6127.122530249999,13933.204940650905,30.73437242801384,38.823177410221284,65.08151887148753,5779.567399281256,1356.51785936625,,,,,8.856001371099492,0.009456647201895358,,10.901575861162227,8.720480510934372,9.54203011501646,7.212676297781762,2.181095350227856,-4.661037377143693,0,6.245143372522444,,extensive,515.5031286127225,-0.01776932366192341,6.22737404886052,506.4238915182454
Anhui,2027,,56703.58677758406,6127.122530249999,14225.802244404573,30.034372428013842,38.22317741022128,65.73151887148754,5866.012756308589,1403.9959844440687,,,,,9.254521432798969,0.009267514257857452,,10.945592746579003,8.720480510934372,9.56281265419899,7.2470777244990945,2.2251122356446307,-4.681240084461212,0,6.267754142807351,,extensive,527.2918249470317,-0.018655696883797646,6.249098445923553,517.5460185517076
Anhui,2028,,59255.24818257534,6127.122530249999,14524.544091537067,29.334372428013843,37.62317741022128,66.38151887148754,5953.751082036747,1453.135843899611,,,,,9.670974897274922,0.009082163972700303,,10.989609631995776,8.720480510934372,9.583595193381518,7.281479151216427,2.269129121061405,-4.701442791778732,0,6.290364913092257,,extensive,539.3501090947773,-0.019446488469839096,6.270918424622418,528.9629674685065
Anhui,2029,,61921.73435079122,6127.122530249999,14829.559517459344,28.634372428013844,37.02317741022128,67.03151887148755,6042.801715480789,1503.9955984360972,,,,,10.106168767652292,0.008900520693246297,,11.03362651741255,8.720480510934372,9.604377732564046,7.315880577933759,2.313146006478179,-4.721645499096251,0,6.312975683377163,,extensive,551.6841460793929,-0.02026255615055561,6.292713127226607,540.6181068267587
Anhui,2030,,64708.21239657683,6127.122530249999,15140.98026732599,27.934372428013845,36.42317741022128,67.68151887148755,6133.184284910652,1556.6354443813605,,,,,10.560946362196646,0.008722510279381371,,11.077643402829326,8.720480510934372,9.625160271746575,7.350282004651091,2.357162891894953,-4.741848206413771,0,6.335586453662068,,extensive,564.300241908111,-0.02108963206410408,6.314496821597964,552.5239725039042
Anhui,2031,,67262.89262199368,6124.058968984874,15337.813010801225,27.434372428013845,36.12317741022128,68.18151887148755,6224.918712177555,1587.7681532689876,,,,,10.983384216684511,0.00859167262519065,,11.116363990940924,8.71998038589269,9.63807649701312,7.370084631947271,2.3963836050482348,-4.756961844223818,0,6.357074209186435,,extensive,576.5570010714624,-0.021933376789093018,6.335140832397342,564.0488337411998
Anhui,2032,,69918.43162271,6120.996939500382,15537.20457994164,26.934372428013845,35.823177410221284,68.68151887148755,6318.025217105109,1619.5235163343673,,,,,11.422719585351892,0.008462797535812791,,11.155084579052524,8.719480260851007,9.650992722279668,7.389887259243451,2.435604318201516,-4.772075482033867,0,6.378561964710801,,extensive,589.0799804736713,-0.022657815366983414,6.355904149343818,575.8827893884553
Anhui,2033,,72678.81130317459,6117.936441030632,15739.188239480878,26.434372428013845,35.52317741022129,69.18151887148755,6412.5243219461145,1651.9139866610547,,,,,11.879628368765967,0.0083358555727756,,11.193805167164122,8.718980135809325,9.663908947546213,7.40968988653963,2.4748250313547975,-4.787189119843915,0,6.400049720235171,,extensive,601.874962492825,-0.023379821330308914,6.376669898904862,587.966456148497
Anhui,2034,,75548.17077342393,6114.877472810117,15943.797686594127,25.934372428013845,35.22317741022129,69.68151887148755,6508.436855906013,1684.9522663942757,,,,,12.354813503516606,0.008210817739183965,,11.232525755275722,8.718480010767642,9.67682517281276,7.42949251383581,2.5140457445080786,-4.802302757653963,0,6.421537475759541,,extensive,614.9478551018767,-0.024114180356264114,6.397423295403277,600.2962572284991
Anhui,2035,,78530.81255555872,6111.820034073712,16151.067056519849,25.434372428013845,34.92317741022129,70.18151887148755,6605.7839597339935,1718.6513117221614,,,,,12.84900604365727,0.008087655473096205,,11.27124634338732,8.71797988572596,9.689741398079306,7.44929514113199,2.5532664576613597,-4.8174163954640115,0,6.443025231283907,,extensive,628.3046945966048,-0.024858392775058746,6.418166838508848,612.8785783040863
Beijing,2024,,45971.70936749999,2187.093,4963.455062926114,0.0,14.168855157566318,88.30079241757416,1580.092544760691,671.979,,,,,21.019549405306496,0.0019738309716252076,,10.735781472522698,7.690328543778135,8.509857362483427,6.510227090034858,3.0454529287445635,-6.227778968979931,1,4.454394325965942,,extensive,86.00404465037798,0.015854083001613617,4.470248408967556,87.37842590229832
Beijing,2025,,48294.42998329293,2188.1865464999996,5102.431804688045,0.0,13.168855157566318,89.05079241757416,1627.4639528116265,705.5779500000001,,,,,22.070526875571822,0.0019244851973345774,,10.785071511733781,7.690828418819786,8.5374725295164,6.55901725420429,3.0942430929139957,-6.25309677696422,1,4.477679357809592,,extensive,88.03014897653256,0.01502523384988308,4.492704591659475,89.36280924540937
Beijing,2026,,50467.679332541105,2188.1865464999996,5209.582872586494,0.0,12.568855157566318,89.70079241757416,1676.255562678063,730.27317825,,,,,23.06370058497255,0.0018859954933878858,,10.829088397150556,7.690828418819786,8.558255068698928,6.593418680921623,3.13825997833077,-6.27329948428174,1,4.500033481696495,,extensive,90.02014527724764,0.014592114835977554,4.514625596532473,91.3433603485763
