scope,target,model,n,mae,rmse,mape,smape,r2
province_pooled,energy,stirpat_only,1020,862.2273332310971,1465.0741462910432,0.11871945836993025,0.11509693410241034,0.9457045583434058
province_pooled,energy,hybrid_reconstruct,930,365.6801860782026,606.9764665432261,0.05005343028831455,0.050248333197918556,0.9907551211029079
province_pooled,co2,stirpat_only,1020,25.574407501832503,42.882681110283976,0.11871945836993025,0.11509693410241034,0.9447807401944296
province_pooled,co2,hybrid_reconstruct,930,11.12108615361042,18.804894021556144,0.05005343028831454,0.050248333197918556,0.9896814524090893
national_yearly,energy,stirpat_only,34,10446.323702917338,14341.676162608639,0.05209683681267464,0.051810492855023024,0.9862897331892143
national_yearly,energy,hybrid_reconstruct,31,5614.637163159545,7226.357598475704,0.02814467137042796,0.02834363838563421,0.9960850471887012
national_yearly,co2,stirpat_only,34,275.8616794820206,359.94591878247047,0.048450496146245164,0.04818013441318811,0.9869062684430526
national_yearly,co2,hybrid_reconstruct,31,178.81505500283023,224.65289400043946,0.029397982007172137,0.02955667199796112,0.9943879996503804
