province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,A,B,C,EnergyIntensity,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual,true_energy,true_co2,stirpat_energy_pred,observed_co2_per_energy,stirpat_co2_pred,hybrid_residual_pred,hybrid_energy_pred,hybrid_co2_pred
Anhui,1990,62.208,658.0,5675.0,2027.254252018596,1686.4581610003015,183.96866805156927,6.583407164862174e-06,156.69435546719947,83.1892772858188,9.074770363331902,3.247450169758867e-07,7.729388423340306,33.97941308839634,17.94,0.1159471365638766,3.0809335137060727,0.0306858401890427,3.0809335137060727,MEIC_1990_2023,0.1159471365638766,0.0945410334346504,4.130483608837974,6.489204931325317,8.643825842349603,7.614437571254257,-2.154620911024286,-2.358721322487344,0,7.47358942340692,0.1408481478473371,2027.254252018596,62.208,1760.9160285598755,0.030685840189042735,54.035187838712154,,,
Anhui,1991,65.676,663.6,5761.0,2173.6555786900008,1794.4864859086915,202.60248594265843,2.339017312962804e-05,178.10008834407813,82.55615579125818,9.320818253311367,1.0760754076653033e-06,8.193574460007776,35.37425795166785,17.96,0.1151883353584447,3.2755509021850524,0.0302145384226791,3.2755509021850524,MEIC_1990_2023,0.1151883353584447,0.0989692585895117,4.184733561949781,6.49767955831629,8.658866349732383,7.684165627664697,-2.161186791416094,-2.312945996366508,0,7.564843498350314,0.1193221293143826,2173.6555786900008,65.676,1929.1668376370133,0.030214538422679193,58.28888553954205,,,
Anhui,1992,70.515,801.2,5834.0,2328.6464621468585,1906.741713626524,222.98908376700004,7.949069055300692e-05,202.08904892184148,81.88197498510074,9.57590975666692,3.413600640765441e-06,8.678391168727636,36.71896434079361,18.2,0.1373328762427151,2.906448405075959,0.0302815395751357,2.906448405075959,MEIC_1990_2023,0.1373328762427151,0.0880117324013979,4.255825453144204,6.686110603791663,8.671458150427666,7.753042460228244,-1.9853475466360035,-2.43028515064746,0,7.591373321162644,0.1616691390655997,2328.6464621468585,70.515,1981.0322399757117,0.030281539575135772,59.98870617444438,,,
Anhui,1993,77.832,1037.1,5897.0,2492.566219399699,2023.0811706766456,245.2778801648177,0.0002584039826297,228.9212317487108,81.16459073106903,9.840375684136871,1.0366985663954526e-05,9.18415847759677,38.00812324549305,18.48,0.1758690859759199,2.403400076559348,0.0312256498520407,2.403400076559348,MEIC_1990_2023,0.1758690859759199,0.0750477292450101,4.354552657673127,6.944183635595689,8.682199026000504,7.821068068945351,-1.7380153904048157,-2.589630977922562,0,7.621159594665399,0.1999084742799519,2492.566219399699,77.832,2040.9274067081985,0.03122564985204075,63.72928457530377,0.1207585334777832,2302.8853786791824,71.90909248402042
Anhui,1994,79.559,1488.47,5955.0,2665.754614197328,2143.314634099999,269.6292764526013,0.0008034931895956,258.8754588205567,80.40179777557515,10.11455724456424,3.014130352870276e-05,9.711151110527306,39.23697786925827,18.78,0.249952980688497,1.7909360714003826,0.0298448325199488,1.790936071400383,MEIC_1990_2023,0.249952980688497,0.0534501871048795,4.376498884776563,7.305504025734755,8.691986481789401,7.888242453815792,-1.3864824560546456,-2.929005140958192,0,7.686543905707256,0.2016985481085358,2665.754614197328,79.559,2178.831288223481,0.029844832519948804,65.02685488625409,0.1332334727048874,2489.3511630446533,74.29426854440744
Anhui,1995,104.678,1810.6,6013.0,2848.550692126658,2267.19974953992,296.2152628625604,0.0023898198787416,292.2497587127272,79.59134291716903,10.39880609045484,8.389599263046393e-05,10.259594800980729,40.40140642099009,19.09,0.3011142524530184,1.5732633890017993,0.0367478101370384,1.5732633890017993,MEIC_1990_2023,0.3011142524530184,0.0578139843145918,4.650888971633037,7.50141356104134,8.70167907103957,7.9545656148395665,-1.200265509998229,-2.8505245894083027,0,7.768081183181583,0.1864844316579832,2848.550692126658,104.678,2363.9309832133144,0.03674781013703849,86.8692869481856,0.1488615870475769,2743.37109619699,100.81288017848614
Anhui,1996,113.619,2339.25,6070.0,3041.2915374296394,2394.437460586051,325.2200338867513,0.0067990445243099,329.3616132094025,78.73094148053035,10.693484326780863,0.0002235578023557,10.82966263365083,46.9,21.71,0.3853789126853377,1.300113941404142,0.0373587992475149,1.300113941404142,MEIC_1990_2023,0.3853789126853377,0.0485706957358127,4.732850745822867,7.7575856441560225,8.711113884053544,8.020037552016674,-0.9535282398975216,-3.0247348983331555,0,7.948962569432298,0.0710749825843759,3041.2915374296394,113.619,2832.6347637273807,0.03735879924751495,105.82383347962316,0.15438082814216614,3305.501225682371,123.48955670268231
Anhui,1997,116.086,2669.95,6127.0,3434.6492894000003,2592.8377440000004,400.501391,0.0195879842783516,441.3101544,75.49061128313755,11.660619680618504,0.0005703052226847,12.848769036243947,47.2,22.02,0.4357679125183613,1.2864095917152008,0.0337985017446363,1.2864095917152008,MEIC_1990_2023,0.4357679125183613,0.0434787168299031,4.754331295730824,7.88981502462719,8.720460512725655,8.141670100288227,-0.8306454880984645,-3.1354837288963657,0,8.043369164599897,0.0983009356883304,3434.6492894000003,116.086,3113.0840339489596,0.033798501744636375,105.21757615262355,0.11863323301076889,3505.198382101599,118.47045363275748
Anhui,1998,117.278,2805.45,6184.0,3669.0948412000007,2782.6574390000005,450.105313,0.0511036051512925,436.3320892,75.84043366101474,12.267475562250397,0.0013928123246489,11.892090776734864,44.7,22.33,0.4536626778783958,1.307845387085851,0.0319637417607999,1.307845387085851,MEIC_1990_2023,0.4536626778783958,0.0418036322158655,4.764547184786931,7.939319232897119,8.729720590267258,8.207700273353437,-0.7904013573701393,-3.1747720481101878,0,8.053422418494145,0.1542778548592913,3669.0948412000007,117.278,3144.5385030992675,0.03196374176079992,100.51121666995732,0.09846613556146622,3469.9260242565756,110.91181936841635
Anhui,1999,120.639,2908.59273,6237.0,3736.501481600001,2825.6455690000007,472.9472250000002,0.1216769435815175,437.9086876,75.62276056665809,12.657487955751598,0.0032564403943288,11.71975147759031,43.97006,26.0,0.466344834054834,1.2846423781028984,0.0322866190724328,1.2846423781028984,MEIC_1990_2023,0.466344834054834,0.0414767591061124,4.792802615100623,7.975424645256198,8.738254576526122,8.225905019891075,-0.7628299312699246,-3.182622030155576,0,8.06843943253342,0.1574655873576542,3736.501481600001,120.639,3192.116427015462,0.0322866190724328,103.06264711390345,0.10432381927967072,3543.120984701032,114.39539756058521
