scenario,province,peak_year,peak_co2,peaked_within_horizon,note
low_carbon,Chongqing,2029,18041.658214184266,True,已达峰
low_carbon,Fujian,2029,22968.007341047647,True,已达峰
low_carbon,Gansu,2029,13444.695372393771,True,已达峰
low_carbon,Guangdong,2029,48111.261996261426,True,已达峰
low_carbon,Guangxi,2029,25105.897989668985,True,已达峰
low_carbon,Guizhou,2029,23805.474674905654,True,已达峰
low_carbon,Hainan,2029,4451.057675295537,True,已达峰
low_carbon,Hebei,2029,88381.36529021656,True,已达峰
low_carbon,Heilongjiang,2029,24256.804297044266,True,已达峰
low_carbon,Henan,2029,37868.12061583413,True,已达峰
low_carbon,Hubei,2029,39259.62709421171,True,已达峰
low_carbon,Hunan,2029,37002.453342862595,True,已达峰
low_carbon,InnerMongolia,2029,49214.58525134438,True,已达峰
low_carbon,Jiangsu,2029,58376.26888500872,True,已达峰
low_carbon,Jiangxi,2029,23797.28833783819,True,已达峰
low_carbon,Jilin,2029,12176.162060141718,True,已达峰
low_carbon,Liaoning,2029,61935.0599309581,True,已达峰
low_carbon,Ningxia,2029,15747.780502122849,True,已达峰
low_carbon,Qinghai,2029,7359.416717477491,True,已达峰
low_carbon,Shaanxi,2029,26194.708809745094,True,已达峰
low_carbon,Shandong,2029,61310.72032090583,True,已达峰
low_carbon,Shanghai,2029,21184.426572483477,True,已达峰
low_carbon,Shanxi,2029,40435.46919155409,True,已达峰
low_carbon,Sichuan,2029,40355.757312809525,True,已达峰
low_carbon,Tianjin,2029,16802.057425024715,True,已达峰
low_carbon,Xinjiang,2029,32978.78603003361,True,已达峰
low_carbon,Yunnan,2029,27077.313389542473,True,已达峰
low_carbon,Zhejiang,2029,27960.214945429914,True,已达峰
