level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Gansu,4,2026,9438.15875238548,12149.31759835342
province,baseline,Gansu,4,2027,9818.022356751742,12582.139856790433
province,baseline,Gansu,4,2028,10162.409625133625,12965.355231918882
province,baseline,Gansu,4,2029,10461.505024376862,12953.1745971289
province,baseline,Gansu,4,2030,10767.806305303806,12927.128974273666
province,baseline,Gansu,4,2031,10984.545837763333,12764.976594124819
province,baseline,Gansu,4,2032,11195.050926065565,12579.151703903493
province,baseline,Gansu,4,2033,11401.990823208322,12373.270080214239
province,baseline,Gansu,4,2034,11607.196559613341,12149.659571593174
province,baseline,Gansu,4,2035,11812.132927125374,11909.997141212509
province,baseline,Guangdong,5,2024,33219.84788195271,40829.13297566978
province,baseline,Guangdong,5,2025,34515.99354265073,42189.87904672601
province,baseline,Guangdong,5,2026,35867.119162491435,43636.238337726616
province,baseline,Guangdong,5,2027,37275.96354073342,45137.03172645499
province,baseline,Guangdong,5,2028,38548.26822736838,46457.15461427936
province,baseline,Guangdong,5,2029,39647.46942987262,46289.54641578718
province,baseline,Guangdong,5,2030,40773.071102540365,46069.01993567507
province,baseline,Guangdong,5,2031,41302.68051881813,45079.33140395001
province,baseline,Guangdong,5,2032,41892.11518950258,44111.91120683172
province,baseline,Guangdong,5,2033,42525.872189036985,43144.130187986244
province,baseline,Guangdong,5,2034,43193.59779599689,42160.7696194359
province,baseline,Guangdong,5,2035,43888.27337295494,41151.33027836993
province,baseline,Guangxi,6,2024,14092.806583019046,21169.54410473489
province,baseline,Guangxi,6,2025,14645.048414011973,21900.534354936877
province,baseline,Guangxi,6,2026,15221.270750663303,22675.164511559742
province,baseline,Guangxi,6,2027,15822.45692032973,23480.24857502924
province,baseline,Guangxi,6,2028,16366.23080086951,24193.58463684612
province,baseline,Guangxi,6,2029,16837.030375148966,24255.80415129381
province,baseline,Guangxi,6,2030,17319.490887600397,24298.941965535134
province,baseline,Guangxi,6,2031,17584.233713581863,23994.257721032023
province,baseline,Guangxi,6,2032,17864.569345525895,23689.89209973078
province,baseline,Guangxi,6,2033,18157.030717041212,23379.5821642304
province,baseline,Guangxi,6,2034,18459.157004016837,23058.85519214993
province,baseline,Guangxi,6,2035,18769.649560722413,22725.02402294867
province,baseline,Guizhou,7,2024,11401.926009909326,19925.378824977543
province,baseline,Guizhou,7,2025,11858.045156535773,20642.66291660512
province,baseline,Guizhou,7,2026,12334.536258048458,21401.592227592944
province,baseline,Guizhou,7,2027,12831.904615960619,22191.17508573121
province,baseline,Guizhou,7,2028,13283.327285063882,22895.87353346603
province,baseline,Guizhou,7,2029,13675.860738799303,23057.706386694997
province,baseline,Guizhou,7,2030,14078.144577381741,23206.061612179736
province,baseline,Guizhou,7,2031,14379.208693450555,23149.447601191812
province,baseline,Guizhou,7,2032,14669.467197978984,23052.70101124866
province,baseline,Guizhou,7,2033,14953.269353618829,22923.735798031972
province,baseline,Guizhou,7,2034,15233.62779393239,22767.79930820193
province,baseline,Guizhou,7,2035,15512.909301878271,22588.735106164495
province,baseline,Hainan,8,2024,3045.494838504252,3788.4449877225297
province,baseline,Hainan,8,2025,3162.4358903192883,3912.630680223929
province,baseline,Hainan,8,2026,3284.2842670576906,4044.597890235051
province,baseline,Hainan,8,2027,3411.1969527139977,4181.378886200919
province,baseline,Hainan,8,2028,3525.426433804201,4301.233723469449
province,baseline,Hainan,8,2029,3623.699954972217,4284.737303720197
province,baseline,Hainan,8,2030,3724.242220840183,4263.440068109051
province,baseline,Hainan,8,2031,3752.503053817004,4151.508777685868
province,baseline,Hainan,8,2032,3790.267173346366,4047.552604103338
province,baseline,Hainan,8,2033,3834.773846349736,3968.8452849922423
province,baseline,Hainan,8,2034,3884.050791564003,4015.145350276529
province,baseline,Hainan,8,2035,3936.674681487312,4064.782026402993
province,baseline,Hebei,9,2024,41155.86183129749,74258.49320451368
province,baseline,Hebei,9,2025,42766.16608941965,76876.18689943063
province,baseline,Hebei,9,2026,44445.617277478275,79640.92869307079
province,baseline,Hebei,9,2027,46196.702902831355,82514.40767391498
province,baseline,Hebei,9,2028,47778.80550340425,85066.99117831604
province,baseline,Hebei,9,2029,49146.97080731119,85653.02668865306
province,baseline,Hebei,9,2030,50548.369384621335,86192.73455103756
province,baseline,Hebei,9,2031,51257.08793429692,85430.37351363074
province,baseline,Hebei,9,2032,52024.83392198555,84709.62365880549
province,baseline,Hebei,9,2033,52836.467519918944,83999.60681874161
province,baseline,Hebei,9,2034,53681.756589481876,83279.38689241552
province,baseline,Hebei,9,2035,54555.22801849567,82536.80143000007
province,baseline,Heilongjiang,10,2024,14316.991222205388,20510.719532859428
province,baseline,Heilongjiang,10,2025,14877.719661915055,21213.899793374894
province,baseline,Heilongjiang,10,2026,15459.88035563141,21955.56279346637
province,baseline,Heilongjiang,10,2027,16065.767327599691,22724.125362944847
province,baseline,Heilongjiang,10,2028,16611.65758048231,23401.237777968774
province,baseline,Heilongjiang,10,2029,17081.934511715754,23420.764079520264
province,baseline,Heilongjiang,10,2030,17562.50784979427,23418.617613798153
province,baseline,Heilongjiang,10,2031,17746.845820038972,22982.05571983835
province,baseline,Heilongjiang,10,2032,17959.1255379814,22566.42826644824
province,baseline,Heilongjiang,10,2033,18192.031249032447,22159.600897553213
province,baseline,Heilongjiang,10,2034,18440.25355107101,21752.93120143064
province,baseline,Heilongjiang,10,2035,18699.72124287069,21340.006379617185
province,baseline,Henan,11,2024,22661.403894519186,32018.705112419062
province,baseline,Henan,11,2025,23546.74509350932,33111.15002024896
province,baseline,Henan,11,2026,24469.53194890439,34268.796085642694
province,baseline,Henan,11,2027,25430.49526407299,35469.13200972817
province,baseline,Henan,11,2028,26297.006407449568,36527.277803689554
province,baseline,Henan,11,2029,27044.393939168483,36547.46901250583
province,baseline,Henan,11,2030,27808.705326598225,36533.63056926126
province,baseline,Henan,11,2031,28133.482323585322,35878.57329906347
province,baseline,Henan,11,2032,28499.503447625513,35249.553393207876
province,baseline,Henan,11,2033,28897.402746848118,34630.58920379587
province,baseline,Henan,11,2034,29320.43657634203,34010.18130599857
